"103年09月15日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","11,456,466","459,328,775","4,953","0.79",
"食品類指數          ","18,168,444","726,281,440","8,893","6.10",
"塑膠類指數          ","28,993,600","1,032,011,912","12,076","0.43",
"紡織纖維類指數      ","26,200,983","1,259,694,478","10,882","1.00",
"電機機械類指數      ","26,628,891","2,011,723,191","13,880","-0.45",
"電器電纜類指數      ","5,641,504","61,207,715","1,621","-0.17",
"化學生技醫療類指數  ","34,709,502","1,407,657,427","18,729","-0.41",
"化學類指數          ","22,288,752","659,804,206","10,381","-0.63",
"生技醫療類指數      ","12,420,750","747,853,221","8,348","-0.08",
"玻璃陶瓷類指數      ","2,188,200","29,870,036","731","-0.02",
"造紙類指數          ","4,062,136","56,938,128","1,267","-0.47",
"鋼鐵類指數          ","38,299,699","616,371,322","12,049","-0.22",
"橡膠類指數          ","15,025,411","664,424,373","7,164","-0.36",
"汽車類指數          ","2,868,864","167,088,932","1,522","0.32",
"電子類指數          ","920,992,685","43,868,968,934","345,900","0.18",
"半導體類指數        ","266,382,609","12,994,066,253","89,893","-0.23",
"電腦及週邊設備類指數","148,893,421","6,793,405,514","62,445","-0.52",
"光電類指數          ","238,190,685","10,003,101,691","70,569","-0.15",
"通信網路類指數      ","49,548,129","2,987,459,572","25,611","-0.67",
"電子零組件類指數    ","121,365,019","5,476,673,990","53,487","1.28",
"電子通路類指數      ","29,315,215","817,210,596","11,447","0.10",
"資訊服務類指數      ","11,384,830","590,259,978","6,481","0.13",
"其他電子類指數      ","55,912,777","4,206,791,340","25,967","1.07",
"建材營造類指數      ","21,635,647","642,344,245","9,542","-2.66",
"航運業類指數        ","70,265,958","1,465,441,470","20,210","0.42",
"觀光事業類指數      ","1,023,758","123,057,355","804","-0.24",
"金融保險類指數      ","245,468,686","4,962,306,785","54,197","-7.33",
"貿易百貨類指數      ","20,301,904","975,042,110","10,213","0.21",
"油電燃氣類指數      ","1,476,010","55,892,685","740","0.08",
"其他類指數          ","26,879,941","1,353,964,372","12,866","-0.28",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

