"99年06月08日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","8,667,602","193,975,875","3,342","0.46",
"食品類指數          ","93,170,353","2,129,259,867","29,321","21.06",
"塑膠類指數          ","51,463,316","1,498,284,203","13,914","1.75",
"紡織纖維類指數      ","60,680,111","851,460,289","14,536","5.50",
"電機機械類指數      ","25,743,475","702,240,267","9,635","0.85",
"電器電纜類指數      ","15,246,014","177,700,531","3,230","0.13",
"化學生技醫療類指數  ","31,569,603","952,190,258","12,924","0.61",
"化學類指數          ","23,979,986","621,264,734","8,584","0.62",
"生技醫療類指數      ","7,589,617","330,925,524","4,340","0.44",
"玻璃陶瓷類指數      ","16,187,694","372,455,661","5,753","0.67",
"造紙類指數          ","9,601,959","128,272,638","2,779","-0.85",
"鋼鐵類指數          ","55,494,987","1,078,071,841","17,346","0.05",
"橡膠類指數          ","18,233,514","702,284,895","6,663","0.93",
"汽車類指數          ","10,455,597","222,694,732","3,330","0.70",
"電子類指數          ","1,232,867,126","63,975,198,467","429,584","-2.02",
"半導體類指數        ","330,516,688","12,524,870,792","95,889","-0.55",
"電腦及週邊設備類指數","165,406,272","6,986,513,457","55,629","-0.17",
"光電類指數          ","286,196,414","11,033,547,010","96,165","-0.17",
"通信網路類指數      ","73,196,853","7,861,710,112","31,319","1.00",
"電子零組件類指數    ","148,445,925","5,786,624,730","53,647","-0.71",
"電子通路類指數      ","41,014,101","2,157,682,695","16,778","3.64",
"資訊服務類指數      ","10,726,857","267,810,317","4,317","0.57",
"其他電子類指數      ","177,364,016","17,356,439,354","75,840","-2.44",
"建材營造類指數      ","41,656,075","857,959,043","12,641","1.47",
"航運業類指數        ","92,177,118","1,978,041,932","21,804","-0.06",
"觀光事業類指數      ","9,010,471","383,161,342","4,014","-0.75",
"金融保險類指數      ","201,061,931","4,006,090,587","42,542","2.28",
"貿易百貨類指數      ","34,350,019","1,646,798,433","12,864","3.03",
"油電燃氣類指數      ","2,669,948","140,588,592","943","0.26",
"其他類指數          ","84,878,469","2,608,999,702","25,973","1.93",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

