"97年03月17日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥工業            ","50,896,000","2,088,948,000","14,140","0.68",
"食品工業            ","53,973,000","1,662,333,000","17,198","-5.45",
"塑膠工業            ","99,715,000","4,468,077,000","26,510","-2.44",
"紡織纖維            ","66,783,000","1,681,841,000","18,001","-6.35",
"電機機械            ","44,289,000","1,189,861,000","12,534","-1.59",
"電器電纜            ","28,721,000","374,289,000","6,504","-0.81",
"化學生技醫療        ","56,722,000","2,653,648,000","20,640","-1.63",
"玻璃陶瓷            ","5,897,000","173,205,000","2,096","-3.57",
"造紙工業            ","10,260,000","148,668,000","2,900","-2.24",
"鋼鐵工業            ","116,500,000","4,049,549,000","30,849","-1.62",
"橡膠工業            ","28,637,000","1,292,099,000","11,102","-2.23",
"汽車工業            ","28,463,000","1,072,599,000","7,232","-0.49",
"電子工業            ","1,304,106,000","63,150,534,000","397,362","-9.59",
"建材營造            ","146,466,000","4,153,667,000","41,882","3.89",
"航運業              ","224,226,000","6,168,377,000","56,845","1.86",
"觀光事業            ","11,752,000","524,189,000","4,126","4.17",
"金融保險            ","633,265,000","16,989,631,000","97,022","-5.17",
"貿易百貨            ","44,721,000","1,536,863,000","12,450","0.45",
"其他                ","40,974,000","1,198,114,000","13,656","-2.27",
"化學工業            ","43,811,000","2,291,263,000","14,845","-1.31",
"生技醫療            ","12,911,000","362,385,000","5,795","-2.22",
"油電燃氣            ","9,972,000","642,987,000","3,851","-1.90",
"半導體              ","386,648,000","18,730,134,000","111,644","-2.47",
"電腦及週邊設備      ","166,225,000","6,652,694,000","58,456","-2.10",
"光電                ","398,612,000","15,072,093,000","101,396","-2.78",
"通信網路            ","97,057,000","9,560,047,000","38,232","-2.83",
"電子零組件          ","108,604,000","3,735,908,000","35,296","-2.43",
"電子通路            ","41,614,000","1,749,737,000","16,365","-0.42",
"資訊服務            ","1,695,000","89,261,000","842","-2.41",
"其他電子            ","103,651,000","7,560,660,000","35,131","-2.75",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

