"100年06月22日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","25,626,138","982,042,107","7,795","1.07",
"食品類指數          ","17,238,921","702,002,659","7,874","-3.05",
"塑膠類指數          ","78,601,461","4,692,357,042","24,939","-4.43",
"紡織纖維類指數      ","45,943,139","1,075,472,419","14,839","3.07",
"電機機械類指數      ","53,254,299","4,320,691,363","23,300","2.56",
"電器電纜類指數      ","14,424,098","238,889,678","4,407","-0.04",
"化學生技醫療類指數  ","51,933,882","2,574,671,287","24,237","2.22",
"化學類指數          ","41,871,045","2,041,766,838","18,226","2.00",
"生技醫療類指數      ","10,062,837","532,904,449","6,011","2.05",
"玻璃陶瓷類指數      ","7,108,143","232,885,008","2,843","1.17",
"造紙類指數          ","5,829,716","88,239,463","1,939","0.80",
"鋼鐵類指數          ","50,569,243","1,333,434,178","12,899","-0.16",
"橡膠類指數          ","20,557,491","1,191,132,330","9,235","2.11",
"汽車類指數          ","39,498,826","2,033,989,781","13,410","1.67",
"電子類指數          ","1,015,599,024","61,419,592,112","378,473","1.85",
"半導體類指數        ","259,676,594","15,518,442,680","91,126","-0.03",
"電腦及週邊設備類指數","158,372,751","9,645,498,342","60,584","0.57",
"光電類指數          ","251,460,217","11,516,270,319","88,433","0.86",
"通信網路類指數      ","105,548,992","13,694,152,136","44,214","3.56",
"電子零組件類指數    ","146,181,626","5,466,479,919","51,419","-0.48",
"電子通路類指數      ","20,432,273","992,420,954","7,911","0.99",
"資訊服務類指數      ","14,960,704","438,578,635","7,048","1.50",
"其他電子類指數      ","58,965,867","4,147,749,127","27,738","-0.44",
"建材營造類指數      ","71,860,382","2,059,813,117","24,793","1.51",
"航運業類指數        ","69,902,539","1,747,679,562","20,814","-0.09",
"觀光事業類指數      ","11,576,818","532,131,749","4,748","0.29",
"金融保險類指數      ","456,329,190","10,961,485,823","102,644","9.95",
"貿易百貨類指數      ","42,436,188","1,903,052,759","15,796","-2.01",
"油電燃氣類指數      ","3,805,721","321,227,443","1,846","-3.36",
"其他類指數          ","33,538,121","1,162,497,147","13,710","0.36",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

