"108年09月10日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","25,239,966","927,515,022","9,535","-0.69",
"食品類指數          ","14,548,002","842,384,872","7,572","-13.43",
"塑膠類指數          ","30,397,374","1,217,359,713","12,221","0.59",
"紡織纖維類指數      ","24,391,053","1,208,338,445","10,646","-3.97",
"電機機械類指數      ","36,390,062","2,999,426,571","17,923","1.72",
"電器電纜類指數      ","20,562,220","304,834,773","4,982","0.15",
"化學生技醫療類指數  ","33,337,419","1,787,635,048","21,047","-0.37",
"化學類指數          ","10,947,641","389,643,697","5,880","-0.35",
"生技醫療類指數      ","22,389,778","1,397,991,351","15,167","-0.27",
"玻璃陶瓷類指數      ","2,474,217","33,467,361","992","-0.10",
"造紙類指數          ","9,738,957","157,802,153","3,989","-0.23",
"鋼鐵類指數          ","31,336,924","824,542,708","12,012","0.55",
"橡膠類指數          ","12,652,888","469,488,294","5,640","-0.01",
"汽車類指數          ","18,624,387","1,203,284,605","10,303","-2.54",
"電子類指數          ","1,443,054,794","84,559,278,400","556,948","-4.21",
"半導體類指數        ","283,556,983","24,233,276,137","126,058","-2.16",
"電腦及週邊設備類指數","121,391,634","5,764,024,345","56,398","-0.50",
"光電類指數          ","525,323,176","23,047,608,630","121,517","-0.97",
"通信網路類指數      ","85,877,425","5,802,838,222","43,076","0.39",
"電子零組件類指數    ","338,733,669","20,193,624,471","165,015","-0.70",
"電子通路類指數      ","18,090,376","587,115,520","9,919","0.13",
"資訊服務類指數      ","5,268,802","242,135,418","3,387","-0.49",
"其他電子類指數      ","64,812,729","4,688,655,657","31,578","-0.41",
"建材營造類指數      ","39,423,316","649,347,018","13,664","-0.83",
"航運業類指數        ","53,097,295","1,223,141,826","21,224","-0.76",
"觀光事業類指數      ","3,757,823","238,535,676","2,185","0.21",
"金融保險類指數      ","439,705,890","8,721,312,093","111,498","11.67",
"貿易百貨類指數      ","15,479,597","565,892,153","6,171","-0.06",
"油電燃氣類指數      ","5,046,547","279,394,257","2,754","-0.66",
"其他類指數          ","35,953,988","3,045,817,132","22,062","-0.36",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

