"99年12月20日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","15,847,997","456,963,555","4,012","-0.52",
"食品類指數          ","41,495,869","1,243,247,324","13,556","-3.46",
"塑膠類指數          ","76,524,954","3,372,277,751","23,700","-2.34",
"紡織纖維類指數      ","92,867,158","2,142,024,783","26,448","-1.21",
"電機機械類指數      ","52,877,726","3,171,100,214","22,672","1.10",
"電器電纜類指數      ","39,064,393","886,111,449","10,452","-0.13",
"化學生技醫療類指數  ","73,738,572","2,808,999,135","27,280","-0.88",
"化學類指數          ","48,847,838","1,575,564,329","15,228","-1.04",
"生技醫療類指數      ","24,890,734","1,233,434,806","12,052","-0.30",
"玻璃陶瓷類指數      ","5,611,186","128,520,926","2,159","-0.04",
"造紙類指數          ","22,220,253","356,769,883","4,834","0.03",
"鋼鐵類指數          ","197,935,803","3,967,326,787","41,881","1.23",
"橡膠類指數          ","26,748,515","923,994,844","9,862","-0.82",
"汽車類指數          ","35,453,600","1,446,436,060","11,521","-0.61",
"電子類指數          ","1,329,255,400","63,738,174,425","411,938","-3.17",
"半導體類指數        ","397,978,324","18,864,936,314","107,653","-1.52",
"電腦及週邊設備類指數","143,967,667","7,489,831,553","51,993","-0.80",
"光電類指數          ","323,598,454","15,334,531,037","110,437","-0.42",
"通信網路類指數      ","107,863,913","9,929,160,821","33,763","-0.82",
"電子零組件類指數    ","251,052,960","6,768,677,340","67,661","-0.02",
"電子通路類指數      ","24,695,381","1,093,219,005","9,974","0.24",
"資訊服務類指數      ","4,792,903","174,345,397","2,470","-0.64",
"其他電子類指數      ","75,305,798","4,083,472,958","27,987","-0.25",
"建材營造類指數      ","143,225,770","3,746,880,911","41,348","-1.93",
"航運業類指數        ","228,222,909","6,399,006,180","56,996","0.81",
"觀光事業類指數      ","31,382,906","2,045,196,990","12,333","0.46",
"金融保險類指數      ","778,765,582","14,391,067,107","124,685","-0.45",
"貿易百貨類指數      ","31,543,758","1,362,734,032","11,410","2.66",
"油電燃氣類指數      ","4,395,826","194,814,977","1,764","-0.36",
"其他類指數          ","28,695,032","884,693,203","10,940","-0.41",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

