"106年12月07日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","18,364,411","579,722,112","3,823","-0.31",
"食品類指數          ","18,231,171","942,515,909","7,619","1.18",
"塑膠類指數          ","210,477,458","5,079,448,058","50,917","-1.53",
"紡織纖維類指數      ","43,414,441","1,062,667,837","15,189","-2.25",
"電機機械類指數      ","120,640,527","5,537,412,180","36,327","-2.54",
"電器電纜類指數      ","41,807,144","563,903,315","12,229","0.27",
"化學生技醫療類指數  ","62,435,415","3,176,036,199","28,914","-0.24",
"化學類指數          ","46,889,086","1,476,213,708","19,179","-0.15",
"生技醫療類指數      ","15,546,329","1,699,822,491","9,735","-0.24",
"玻璃陶瓷類指數      ","28,515,326","525,978,428","8,786","1.36",
"造紙類指數          ","19,996,175","603,382,156","8,382","-3.34",
"鋼鐵類指數          ","31,390,771","606,701,131","9,940","-0.26",
"橡膠類指數          ","14,413,036","605,313,194","7,239","-3.25",
"汽車類指數          ","9,295,754","348,463,452","4,837","0.44",
"電子類指數          ","1,618,034,218","95,629,676,466","617,646","-0.98",
"半導體類指數        ","469,750,136","30,745,615,878","181,671","-0.58",
"電腦及週邊設備類指數","171,880,859","5,866,578,814","62,942","-0.38",
"光電類指數          ","522,349,138","28,954,989,242","159,741","-0.39",
"通信網路類指數      ","101,730,225","7,651,459,364","50,204","-0.03",
"電子零組件類指數    ","236,241,080","13,076,464,968","103,171","0.12",
"電子通路類指數      ","32,141,746","940,798,732","13,851","0.88",
"資訊服務類指數      ","2,911,244","65,208,159","1,466","-0.41",
"其他電子類指數      ","81,029,790","8,328,561,309","44,600","0.30",
"建材營造類指數      ","49,250,376","769,422,558","13,115","0.27",
"航運業類指數        ","145,289,188","2,655,708,988","33,255","-0.32",
"觀光事業類指數      ","1,515,268","228,782,453","1,273","-0.15",
"金融保險類指數      ","294,889,142","5,631,512,147","73,772","-10.50",
"貿易百貨類指數      ","18,508,944","769,430,924","7,959","-1.77",
"油電燃氣類指數      ","2,370,134","213,626,679","1,165","-0.61",
"其他類指數          ","29,535,444","1,972,179,257","17,188","-0.26",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

