"101年04月25日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","12,943,799","432,856,509","4,530","-0.03",
"食品類指數          ","11,448,602","443,396,411","5,352","3.14",
"塑膠類指數          ","41,302,063","1,699,014,981","15,260","1.44",
"紡織纖維類指數      ","24,185,117","394,037,690","7,553","1.85",
"電機機械類指數      ","23,150,744","1,192,580,035","9,225","1.33",
"電器電纜類指數      ","9,063,698","116,982,770","3,243","0.32",
"化學生技醫療類指數  ","30,874,944","1,578,928,372","15,292","0.92",
"化學類指數          ","15,269,662","603,463,336","6,571","0.66",
"生技醫療類指數      ","15,605,282","975,465,036","8,721","1.01",
"玻璃陶瓷類指數      ","4,158,825","78,510,853","1,511","0.90",
"造紙類指數          ","4,668,160","59,844,217","1,664","1.47",
"鋼鐵類指數          ","20,843,549","397,088,040","6,920","0.16",
"橡膠類指數          ","13,563,674","760,226,152","5,433","0.74",
"汽車類指數          ","18,505,340","996,671,012","8,388","3.09",
"電子類指數          ","975,281,624","53,591,915,691","369,283","3.10",
"半導體類指數        ","300,329,924","14,007,117,700","95,487","0.46",
"電腦及週邊設備類指數","135,413,571","8,502,759,759","56,849","0.93",
"光電類指數          ","251,432,274","10,163,869,848","87,656","1.01",
"通信網路類指數      ","81,566,004","8,736,848,595","41,983","-0.24",
"電子零組件類指數    ","108,955,367","4,827,446,348","48,382","1.21",
"電子通路類指數      ","16,391,611","709,761,356","8,004","1.67",
"資訊服務類指數      ","3,512,220","79,655,851","1,606","0.80",
"其他電子類指數      ","77,680,653","6,564,456,234","29,316","1.57",
"建材營造類指數      ","31,303,889","669,404,061","12,385","1.57",
"航運業類指數        ","48,183,622","836,718,536","15,601","1.06",
"觀光事業類指數      ","2,919,908","186,969,269","1,750","0.19",
"金融保險類指數      ","293,487,335","4,524,856,309","55,404","6.45",
"貿易百貨類指數      ","14,510,806","589,190,129","6,320","0.60",
"油電燃氣類指數      ","2,598,711","126,552,941","1,369","-0.57",
"其他類指數          ","26,325,621","1,283,523,858","13,229","2.37",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

