"104年11月09日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","6,165,880","204,820,912","3,608","-1.16",
"食品類指數          ","17,534,150","705,263,075","7,101","2.34",
"塑膠類指數          ","46,852,066","1,450,949,944","19,347","-2.41",
"紡織纖維類指數      ","48,368,600","2,724,820,478","22,761","-2.42",
"電機機械類指數      ","52,087,007","3,966,064,304","29,850","-1.66",
"電器電纜類指數      ","10,304,137","122,323,503","3,862","-0.47",
"化學生技醫療類指數  ","68,573,424","5,170,339,882","38,386","-2.50",
"化學類指數          ","37,602,485","1,986,036,520","17,463","-2.07",
"生技醫療類指數      ","30,970,939","3,184,303,362","20,923","-2.16",
"玻璃陶瓷類指數      ","5,955,315","129,654,706","2,389","-0.86",
"造紙類指數          ","3,145,073","35,658,811","1,074","-1.60",
"鋼鐵類指數          ","20,186,899","377,281,169","8,849","-0.59",
"橡膠類指數          ","11,126,515","389,691,579","6,035","-2.38",
"汽車類指數          ","6,329,083","594,532,875","4,027","-5.28",
"電子類指數          ","1,099,321,431","51,990,160,646","435,209","-1.62",
"半導體類指數        ","286,493,727","14,604,816,214","109,058","0.57",
"電腦及週邊設備類指數","143,642,965","4,924,115,302","56,837","-1.34",
"光電類指數          ","312,634,757","12,028,491,301","99,082","-0.95",
"通信網路類指數      ","123,984,710","5,098,170,892","54,426","-0.68",
"電子零組件類指數    ","129,649,450","5,819,582,544","59,200","-0.33",
"電子通路類指數      ","22,250,513","526,474,876","8,867","-0.35",
"資訊服務類指數      ","7,197,275","347,181,586","4,096","-1.10",
"其他電子類指數      ","73,468,034","8,641,327,931","43,643","-1.06",
"建材營造類指數      ","19,040,002","431,107,182","9,193","-1.41",
"航運業類指數        ","56,371,981","934,236,914","19,917","-0.13",
"觀光事業類指數      ","4,234,896","420,820,524","2,772","-1.33",
"金融保險類指數      ","248,465,446","5,156,250,354","67,239","0.03",
"貿易百貨類指數      ","29,563,434","1,603,202,786","14,327","-2.86",
"油電燃氣類指數      ","4,131,831","295,576,055","2,133","-1.97",
"其他類指數          ","51,905,186","3,233,059,780","30,689","-1.15",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

