"104年12月16日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","13,790,202","367,981,419","7,287","-0.09",
"食品類指數          ","19,916,888","855,779,303","10,070","28.58",
"塑膠類指數          ","102,642,525","2,396,741,396","34,519","2.56",
"紡織纖維類指數      ","43,386,565","2,430,568,473","21,751","9.89",
"電機機械類指數      ","26,767,585","1,952,222,785","16,706","2.74",
"電器電纜類指數      ","11,187,012","90,206,253","2,839","0.50",
"化學生技醫療類指數  ","69,343,423","4,222,358,576","35,461","1.35",
"化學類指數          ","42,432,106","1,406,230,237","17,589","2.21",
"生技醫療類指數      ","26,911,317","2,816,128,339","17,872","0.20",
"玻璃陶瓷類指數      ","6,045,395","72,036,015","1,832","1.14",
"造紙類指數          ","7,048,185","69,894,450","1,788","2.84",
"鋼鐵類指數          ","20,800,427","327,709,420","7,666","0.43",
"橡膠類指數          ","9,262,935","364,918,995","4,767","2.21",
"汽車類指數          ","8,148,147","479,428,791","4,935","6.00",
"電子類指數          ","1,269,570,346","58,437,398,793","475,464","4.92",
"半導體類指數        ","410,600,921","22,397,100,329","146,376","3.04",
"電腦及週邊設備類指數","210,741,528","6,775,233,602","78,106","0.56",
"光電類指數          ","340,895,607","12,335,669,940","103,470","0.23",
"通信網路類指數      ","93,166,023","3,996,814,279","42,459","0.26",
"電子零組件類指數    ","123,125,453","5,225,321,469","57,632","0.58",
"電子通路類指數      ","12,631,431","329,020,089","6,096","0.37",
"資訊服務類指數      ","1,986,207","59,072,966","1,259","-0.23",
"其他電子類指數      ","76,423,176","7,319,166,119","40,066","0.27",
"建材營造類指數      ","25,402,725","574,826,100","12,103","4.16",
"航運業類指數        ","81,847,086","1,157,354,786","20,805","1.06",
"觀光事業類指數      ","2,320,231","285,890,809","1,657","0.63",
"金融保險類指數      ","252,609,955","4,756,893,392","65,203","5.31",
"貿易百貨類指數      ","17,727,377","692,002,197","8,516","2.17",
"油電燃氣類指數      ","5,958,885","429,930,024","2,940","2.64",
"其他類指數          ","36,659,716","2,473,139,089","23,867","0.78",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

