"108年07月03日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","26,263,158","1,166,475,225","11,169","-1.06",
"食品類指數          ","19,293,607","1,073,125,991","10,852","7.83",
"塑膠類指數          ","64,516,318","3,399,470,477","23,883","-6.79",
"紡織纖維類指數      ","21,006,313","842,817,863","10,109","-0.72",
"電機機械類指數      ","49,784,400","2,766,304,900","26,047","-2.46",
"電器電纜類指數      ","8,725,502","139,584,159","2,933","-0.22",
"化學生技醫療類指數  ","50,863,479","2,622,928,573","28,180","-0.37",
"化學類指數          ","22,181,521","850,099,226","10,974","-0.39",
"生技醫療類指數      ","28,681,958","1,772,829,347","17,206","-0.23",
"玻璃陶瓷類指數      ","10,881,381","149,462,432","3,993","0.04",
"造紙類指數          ","8,811,421","123,649,485","3,330","-0.03",
"鋼鐵類指數          ","25,787,354","665,874,767","10,251","0.03",
"橡膠類指數          ","9,369,583","327,544,797","4,694","1.74",
"汽車類指數          ","24,891,580","1,417,423,572","12,472","-2.50",
"電子類指數          ","1,027,686,839","72,695,260,735","492,222","-7.30",
"半導體類指數        ","256,413,543","23,119,358,636","124,696","-3.90",
"電腦及週邊設備類指數","128,988,556","5,176,363,881","58,546","-0.28",
"光電類指數          ","258,003,215","16,125,535,173","102,239","-0.97",
"通信網路類指數      ","63,738,814","4,750,530,785","34,981","-0.72",
"電子零組件類指數    ","227,852,002","16,820,648,525","121,392","-0.95",
"電子通路類指數      ","15,422,257","520,851,580","7,836","0.24",
"資訊服務類指數      ","4,984,340","265,422,709","3,313","1.02",
"其他電子類指數      ","72,284,112","5,916,549,446","39,219","-1.21",
"建材營造類指數      ","40,023,271","1,260,864,299","16,475","-2.29",
"航運業類指數        ","67,080,465","1,409,473,940","22,960","0.34",
"觀光事業類指數      ","4,443,080","443,606,548","2,872","-0.84",
"金融保險類指數      ","362,553,886","7,319,248,635","88,278","-1.73",
"貿易百貨類指數      ","23,539,314","945,431,257","9,094","1.85",
"油電燃氣類指數      ","4,652,325","352,626,568","2,655","-1.21",
"其他類指數          ","38,472,556","2,588,066,668","19,972","-0.41",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

