"100年05月09日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","54,832,268","1,973,162,661","15,383","3.00",
"食品類指數          ","64,924,583","2,518,750,680","21,163","23.66",
"塑膠類指數          ","107,940,841","6,045,200,544","31,865","-1.05",
"紡織纖維類指數      ","108,750,854","2,782,922,832","31,820","4.71",
"電機機械類指數      ","52,318,255","3,073,702,739","23,626","-2.43",
"電器電纜類指數      ","32,901,607","518,239,657","7,629","-0.04",
"化學生技醫療類指數  ","142,471,163","6,227,415,029","51,613","0.81",
"化學類指數          ","115,202,118","4,619,889,769","37,718","1.07",
"生技醫療類指數      ","27,269,045","1,607,525,260","13,895","0.08",
"玻璃陶瓷類指數      ","19,837,703","891,584,459","6,860","3.06",
"造紙類指數          ","18,038,832","293,177,628","4,869","1.91",
"鋼鐵類指數          ","54,593,503","1,372,813,882","15,761","-0.07",
"橡膠類指數          ","66,874,488","3,412,916,801","24,682","2.56",
"汽車類指數          ","75,992,391","2,897,555,211","19,838","2.93",
"電子類指數          ","1,033,143,791","61,624,668,054","376,593","1.77",
"半導體類指數        ","327,336,284","20,920,718,706","108,980","0.93",
"電腦及週邊設備類指數","148,342,862","7,741,520,501","53,772","0.09",
"光電類指數          ","215,643,583","11,660,627,423","84,005","-0.10",
"通信網路類指數      ","77,904,862","7,997,778,679","30,447","-0.52",
"電子零組件類指數    ","150,421,981","6,412,925,004","52,357","1.02",
"電子通路類指數      ","34,463,539","1,601,621,181","14,955","-0.49",
"資訊服務類指數      ","7,781,959","291,335,402","3,878","0.02",
"其他電子類指數      ","71,248,721","4,998,141,158","28,199","0.74",
"建材營造類指數      ","160,254,938","4,665,348,683","48,959","-1.24",
"航運業類指數        ","256,330,357","7,013,404,373","60,255","2.06",
"觀光事業類指數      ","7,956,701","374,019,455","3,281","2.36",
"金融保險類指數      ","574,229,348","12,769,671,015","105,355","14.16",
"貿易百貨類指數      ","29,204,415","1,468,211,267","11,334","4.62",
"油電燃氣類指數      ","7,879,426","527,951,894","3,058","0.76",
"其他類指數          ","50,170,430","1,959,248,281","19,659","1.25",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

