"106年11月15日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","26,608,602","873,775,823","9,563","1.91",
"食品類指數          ","18,115,205","909,240,701","8,802","0.24",
"塑膠類指數          ","80,290,733","2,774,806,172","29,690","-1.23",
"紡織纖維類指數      ","67,016,422","1,753,038,433","22,683","0.84",
"電機機械類指數      ","45,557,592","2,978,297,275","23,882","0.09",
"電器電纜類指數      ","19,481,739","241,897,531","5,897","-0.45",
"化學生技醫療類指數  ","69,890,109","3,163,491,896","30,875","-0.27",
"化學類指數          ","57,354,649","2,402,974,506","23,339","-0.66",
"生技醫療類指數      ","12,535,460","760,517,390","7,536","0.15",
"玻璃陶瓷類指數      ","4,203,088","64,354,026","1,859","-0.60",
"造紙類指數          ","23,797,551","434,212,893","7,395","3.19",
"鋼鐵類指數          ","50,207,740","984,316,296","14,630","-0.71",
"橡膠類指數          ","45,618,520","1,999,349,945","20,367","-1.13",
"汽車類指數          ","11,445,814","563,889,591","6,191","-2.06",
"電子類指數          ","1,521,175,326","91,445,999,680","621,970","-3.84",
"半導體類指數        ","387,782,733","27,337,460,928","168,941","-1.28",
"電腦及週邊設備類指數","242,215,911","10,361,914,859","93,876","-2.29",
"光電類指數          ","412,170,624","17,920,528,833","137,974","0.17",
"通信網路類指數      ","100,403,223","6,886,764,475","43,709","-0.42",
"電子零組件類指數    ","170,661,474","9,705,177,894","82,611","0.59",
"電子通路類指數      ","34,462,851","1,008,037,655","15,209","0.40",
"資訊服務類指數      ","2,292,387","49,224,910","1,228","0.11",
"其他電子類指數      ","171,186,123","18,176,890,126","78,422","-2.48",
"建材營造類指數      ","25,873,192","501,901,037","10,777","0.82",
"航運業類指數        ","71,231,940","1,184,803,640","20,819","-0.44",
"觀光事業類指數      ","2,149,887","254,357,744","1,608","-0.54",
"金融保險類指數      ","233,476,593","4,713,114,807","70,924","-1.07",
"貿易百貨類指數      ","26,268,888","1,134,790,980","11,321","-0.72",
"油電燃氣類指數      ","4,219,513","335,109,685","2,137","0.00",
"其他類指數          ","53,144,586","3,046,879,893","27,956","1.27",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

