"98年12月22日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","20,126,084","539,264,405","5,722","0.03",
"食品類指數          ","48,640,562","1,191,592,081","13,374","11.11",
"塑膠類指數          ","89,891,875","2,197,766,373","20,963","1.53",
"紡織纖維類指數      ","118,333,845","1,474,708,521","24,038","2.10",
"電機機械類指數      ","39,872,489","988,580,127","13,440","0.16",
"電器電纜類指數      ","45,454,912","714,195,941","9,476","0.16",
"化學生技醫療類指數  ","47,559,852","1,964,117,426","17,000","0.77",
"化學類指數          ","34,303,371","1,292,231,516","10,729","1.02",
"生技醫療類指數      ","13,256,481","671,885,910","6,271","-0.05",
"玻璃陶瓷類指數      ","16,555,125","366,626,814","5,387","-1.18",
"造紙類指數          ","20,241,099","377,406,699","5,144","1.72",
"鋼鐵類指數          ","147,989,947","3,184,663,643","37,201","1.43",
"橡膠類指數          ","31,978,864","1,202,010,805","10,113","0.06",
"汽車類指數          ","21,298,740","545,663,828","6,347","0.44",
"電子類指數          ","2,131,420,040","82,009,150,636","614,820","3.01",
"半導體類指數        ","512,813,294","24,254,004,751","150,989","1.07",
"電腦及週邊設備類指數","212,296,006","8,258,525,346","68,272","0.65",
"光電類指數          ","567,030,147","19,849,354,540","147,310","0.41",
"通信網路類指數      ","179,830,230","7,518,501,213","54,367","0.04",
"電子零組件類指數    ","433,352,198","13,509,449,472","122,868","1.24",
"電子通路類指數      ","58,796,995","1,713,765,498","20,396","0.47",
"資訊服務類指數      ","14,537,773","494,199,003","5,909","0.02",
"其他電子類指數      ","152,763,397","6,411,350,813","44,709","0.91",
"建材營造類指數      ","47,336,684","1,191,743,945","15,017","-0.03",
"航運業類指數        ","79,697,724","1,568,806,300","19,290","0.46",
"觀光事業類指數      ","4,608,987","151,334,594","1,840","-0.47",
"金融保險類指數      ","366,717,419","7,516,197,980","76,119","11.86",
"貿易百貨類指數      ","15,922,767","591,548,904","6,313","0.61",
"油電燃氣類指數      ","5,288,987","189,279,192","1,654","0.52",
"其他類指數          ","69,056,667","1,626,183,835","20,581","0.50",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

