"104年01月28日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","8,777,514","350,173,180","4,685","0.45",
"食品類指數          ","26,779,603","852,044,458","10,852","-0.31",
"塑膠類指數          ","70,785,141","2,023,858,398","20,304","0.45",
"紡織纖維類指數      ","23,475,752","781,629,040","9,790","0.28",
"電機機械類指數      ","42,940,925","1,991,078,563","20,278","0.33",
"電器電纜類指數      ","14,481,904","180,927,172","4,244","0.08",
"化學生技醫療類指數  ","48,788,880","1,388,415,113","18,452","-0.20",
"化學類指數          ","37,867,342","688,935,746","11,584","0.10",
"生技醫療類指數      ","10,921,538","699,479,367","6,868","-0.43",
"玻璃陶瓷類指數      ","4,386,725","58,403,675","1,158","0.49",
"造紙類指數          ","4,186,344","54,657,351","1,220","1.04",
"鋼鐵類指數          ","21,701,494","443,495,457","8,218","0.04",
"橡膠類指數          ","13,964,279","668,934,828","7,048","-0.95",
"汽車類指數          ","3,159,305","223,033,217","1,900","0.59",
"電子類指數          ","1,205,468,742","57,088,515,059","424,461","-0.26",
"半導體類指數        ","392,881,998","21,063,070,020","116,489","-0.31",
"電腦及週邊設備類指數","232,188,785","9,552,058,712","85,558","0.79",
"光電類指數          ","263,502,178","8,694,342,753","75,638","0.14",
"通信網路類指數      ","66,328,279","3,947,184,898","32,483","0.14",
"電子零組件類指數    ","148,287,520","6,442,854,285","66,569","-0.37",
"電子通路類指數      ","17,099,666","596,456,814","8,818","-0.06",
"資訊服務類指數      ","3,896,281","204,048,223","2,181","-0.18",
"其他電子類指數      ","81,284,035","6,588,499,354","36,725","-0.41",
"建材營造類指數      ","19,577,474","417,550,699","7,275","-0.59",
"航運業類指數        ","65,051,330","1,416,427,483","19,935","-1.08",
"觀光事業類指數      ","1,171,125","87,431,738","644","-0.16",
"金融保險類指數      ","226,843,259","4,457,912,849","61,600","-5.08",
"貿易百貨類指數      ","8,823,980","649,207,155","4,881","-1.85",
"油電燃氣類指數      ","3,538,209","170,391,596","1,954","0.26",
"其他類指數          ","33,707,528","1,727,300,745","17,986","-0.04",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

