"106年07月07日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","5,968,966","176,325,916","2,336","-0.80",
"食品類指數          ","23,653,858","862,554,041","9,478","-16.96",
"塑膠類指數          ","48,090,247","1,806,611,249","16,949","-1.74",
"紡織纖維類指數      ","36,071,830","1,392,866,740","13,941","-6.20",
"電機機械類指數      ","56,027,959","2,350,181,629","19,547","-2.09",
"電器電纜類指數      ","15,203,838","202,322,625","3,348","-0.60",
"化學生技醫療類指數  ","21,811,818","784,707,189","10,786","-0.71",
"化學類指數          ","14,860,981","366,460,566","6,100","-0.63",
"生技醫療類指數      ","6,950,837","418,246,623","4,686","-0.56",
"玻璃陶瓷類指數      ","2,630,637","36,711,924","925","-0.68",
"造紙類指數          ","26,199,270","766,482,826","9,258","0.77",
"鋼鐵類指數          ","44,207,359","796,164,917","11,100","-1.10",
"橡膠類指數          ","8,715,228","429,483,266","3,983","-0.57",
"汽車類指數          ","5,311,641","408,934,000","2,995","-4.33",
"電子類指數          ","1,127,725,327","57,981,871,738","381,590","-2.90",
"半導體類指數        ","257,302,971","12,880,280,509","80,340","-1.12",
"電腦及週邊設備類指數","127,210,094","5,572,576,073","49,370","-0.52",
"光電類指數          ","447,304,589","19,705,841,639","105,495","-0.39",
"通信網路類指數      ","89,915,769","5,299,100,411","40,663","-0.23",
"電子零組件類指數    ","104,960,419","6,438,883,120","55,365","-0.39",
"電子通路類指數      ","21,555,281","740,773,714","9,352","-0.16",
"資訊服務類指數      ","7,921,338","174,196,494","3,661","-0.28",
"其他電子類指數      ","71,554,866","7,170,219,778","37,344","-1.08",
"建材營造類指數      ","24,739,416","545,157,472","9,543","-0.90",
"航運業類指數        ","44,955,267","787,321,581","13,891","-0.48",
"觀光事業類指數      ","2,002,273","211,657,019","1,393","-0.44",
"金融保險類指數      ","252,456,356","4,835,242,866","50,702","-6.51",
"貿易百貨類指數      ","23,735,832","668,943,095","8,843","-0.07",
"油電燃氣類指數      ","2,912,474","212,156,283","1,505","-0.62",
"其他類指數          ","28,472,215","2,124,382,812","16,811","-2.29",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

