"106年12月28日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","16,858,414","509,590,718","5,399","0.64",
"食品類指數          ","21,596,328","927,839,125","10,231","25.22",
"塑膠類指數          ","179,080,113","5,621,506,175","52,508","-2.14",
"紡織纖維類指數      ","72,638,190","1,913,403,871","21,584","3.82",
"電機機械類指數      ","60,442,768","2,532,184,413","22,550","1.33",
"電器電纜類指數      ","30,423,039","487,650,580","8,289","-0.13",
"化學生技醫療類指數  ","40,408,429","1,681,280,870","18,450","0.49",
"化學類指數          ","32,363,391","1,018,756,659","13,701","0.52",
"生技醫療類指數      ","8,045,038","662,524,211","4,749","0.31",
"玻璃陶瓷類指數      ","42,925,122","861,500,337","12,368","4.37",
"造紙類指數          ","42,322,626","790,321,630","11,821","1.99",
"鋼鐵類指數          ","142,502,806","2,360,034,188","37,480","0.63",
"橡膠類指數          ","15,833,166","552,178,374","6,800","3.64",
"汽車類指數          ","12,160,615","589,887,292","5,253","3.49",
"電子類指數          ","1,338,854,766","73,344,811,932","504,009","4.86",
"半導體類指數        ","362,808,665","22,178,850,680","108,512","1.21",
"電腦及週邊設備類指數","208,914,919","6,677,311,916","75,555","0.82",
"光電類指數          ","254,136,755","13,822,345,611","85,838","1.35",
"通信網路類指數      ","122,126,844","6,545,900,151","49,262","0.39",
"電子零組件類指數    ","286,645,636","16,690,424,653","135,073","1.05",
"電子通路類指數      ","23,484,860","833,667,996","10,845","0.55",
"資訊服務類指數      ","9,149,229","174,631,353","3,488","0.54",
"其他電子類指數      ","71,587,858","6,421,679,572","35,436","2.08",
"建材營造類指數      ","60,338,345","941,535,979","13,843","1.18",
"航運業類指數        ","61,874,917","969,107,344","15,335","0.66",
"觀光事業類指數      ","1,170,423","154,719,949","914","1.68",
"金融保險類指數      ","200,583,974","3,767,063,535","48,815","2.90",
"貿易百貨類指數      ","18,469,288","672,975,641","6,411","4.77",
"油電燃氣類指數      ","4,740,384","470,824,948","2,303","-1.19",
"其他類指數          ","34,488,017","1,684,807,093","16,392","0.85",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

