"97年12月11日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥工業            ","31,185,000","758,226,000","9,526","-1.83",
"食品工業            ","91,746,000","1,942,716,000","26,729","-21.67",
"塑膠工業            ","84,299,000","2,151,853,000","24,269","-2.27",
"紡織纖維            ","37,493,000","536,136,000","9,395","2.11",
"電機機械            ","45,908,000","702,625,000","13,360","-0.29",
"電器電纜            ","17,524,000","117,766,000","3,410","-0.15",
"化學生技醫療        ","143,496,000","4,028,700,000","43,122","0.95",
"玻璃陶瓷            ","6,572,000","77,351,000","2,145","0.27",
"造紙工業            ","26,074,000","218,167,000","4,839","-0.59",
"鋼鐵工業            ","124,095,000","2,219,770,000","32,192","-0.50",
"橡膠工業            ","44,839,000","871,174,000","12,837","-2.77",
"汽車工業            ","26,078,000","317,883,000","5,994","1.11",
"電子工業            ","2,553,706,000","59,261,757,000","605,343","1.59",
"建材營造            ","213,348,000","2,679,809,000","47,469","2.07",
"航運業              ","269,776,000","5,668,987,000","74,698","-1.22",
"觀光事業            ","14,821,000","468,064,000","6,102","3.08",
"金融保險            ","746,548,000","10,467,903,000","114,794","-9.48",
"貿易百貨            ","44,010,000","825,088,000","12,286","-1.95",
"其他                ","42,825,000","854,748,000","14,923","-1.18",
"化學工業            ","118,732,000","3,544,870,000","34,198","1.43",
"生技醫療            ","24,764,000","483,830,000","8,924","-0.52",
"油電燃氣            ","12,363,000","603,717,000","3,527","0.12",
"半導體              ","673,061,000","18,141,674,000","171,461","0.99",
"電腦及週邊設備      ","347,202,000","8,584,423,000","91,566","0.17",
"光電                ","814,063,000","11,819,829,000","134,614","1.00",
"通信網路            ","234,731,000","9,165,939,000","74,230","-1.25",
"電子零組件          ","180,156,000","2,828,600,000","45,485","0.57",
"電子通路            ","67,833,000","1,343,362,000","20,942","0.36",
"資訊服務            ","2,185,000","127,266,000","1,109","-0.73",
"其他電子            ","234,475,000","7,250,664,000","65,936","0.04",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

