"98年06月04日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","49,842,000","1,473,243,000","14,677","-1.20",
"食品類指數          ","82,362,000","1,763,029,000","22,395","-5.53",
"塑膠類指數          ","140,313,000","3,326,257,000","33,835","-3.53",
"紡織纖維類指數      ","175,761,000","2,654,293,000","32,534","-6.52",
"電機機械類指數      ","71,549,000","1,388,356,000","19,453","-0.48",
"電器電纜類指數      ","49,032,000","777,727,000","10,765","-0.14",
"化學生技醫療類指數  ","135,602,000","5,123,447,000","43,138","0.07",
"化學類指數          ","122,781,000","4,722,738,000","37,364","0.16",
"生技醫療類指數      ","12,821,000","400,709,000","5,774","-0.19",
"玻璃陶瓷類指數      ","6,939,000","109,031,000","2,047","-0.97",
"造紙類指數          ","40,818,000","1,192,818,000","10,328","3.03",
"鋼鐵類指數          ","245,721,000","5,773,957,000","62,955","-1.72",
"橡膠類指數          ","54,433,000","1,725,855,000","17,317","-0.72",
"汽車類指數          ","61,157,000","1,467,140,000","14,550","-2.44",
"電子類指數          ","2,600,898,000","94,174,079,000","701,650","-4.27",
"半導體類指數        ","717,078,000","28,311,665,000","185,544","-1.26",
"電腦及週邊設備類指數","349,579,000","11,618,715,000","104,599","-1.39",
"光電類指數          ","826,285,000","20,522,971,000","178,350","-0.24",
"通信網路類指數      ","292,678,000","15,127,657,000","91,732","-0.61",
"電子零組件類指數    ","151,821,000","4,045,061,000","48,215","-0.43",
"電子通路類指數      ","39,146,000","1,299,107,000","14,693","-1.12",
"資訊服務類指數      ","3,709,000","194,002,000","1,608","-0.49",
"其他電子類指數      ","220,602,000","13,054,901,000","76,909","-2.11",
"建材營造類指數      ","284,815,000","7,228,734,000","73,429","7.67",
"航運業類指數        ","236,805,000","6,617,631,000","66,687","-2.13",
"觀光事業類指數      ","13,784,000","640,045,000","5,097","-2.33",
"金融保險類指數      ","912,320,000","17,438,203,000","161,633","-19.14",
"貿易百貨類指數      ","62,543,000","1,600,113,000","16,437","-2.66",
"油電燃氣類指數      ","10,824,000","493,437,000","2,900","-1.35",
"其他類指數          ","85,906,000","2,082,573,000","26,076","-0.67",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

