"104年11月02日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","4,064,047","125,800,909","2,244","0.93",
"食品類指數          ","13,536,699","656,574,880","7,189","-9.51",
"塑膠類指數          ","55,973,958","1,460,009,898","23,579","1.43",
"紡織纖維類指數      ","31,629,052","1,721,107,561","15,462","4.59",
"電機機械類指數      ","40,852,850","2,814,111,580","25,461","0.08",
"電器電纜類指數      ","9,128,330","92,856,033","3,627","-0.03",
"化學生技醫療類指數  ","63,356,988","4,593,132,004","35,624","1.19",
"化學類指數          ","25,881,674","1,611,348,794","13,222","0.12",
"生技醫療類指數      ","37,475,314","2,981,783,210","22,402","1.83",
"玻璃陶瓷類指數      ","1,908,751","22,082,369","582","0.11",
"造紙類指數          ","6,355,549","69,327,807","1,235","-0.03",
"鋼鐵類指數          ","25,762,534","462,656,217","9,127","0.68",
"橡膠類指數          ","10,487,745","401,984,678","6,530","4.07",
"汽車類指數          ","6,508,259","613,297,371","4,047","2.25",
"電子類指數          ","981,624,904","47,820,085,055","414,827","2.91",
"半導體類指數        ","321,427,007","16,562,723,787","118,693","0.99",
"電腦及週邊設備類指數","108,494,041","4,235,980,780","49,101","0.67",
"光電類指數          ","256,191,868","10,940,310,596","96,206","0.78",
"通信網路類指數      ","83,713,930","4,391,460,118","43,048","0.23",
"電子零組件類指數    ","136,047,962","6,337,236,071","67,916","0.64",
"電子通路類指數      ","16,233,203","453,848,658","8,119","-0.06",
"資訊服務類指數      ","14,947,333","628,032,891","7,602","0.82",
"其他電子類指數      ","44,569,560","4,270,492,154","24,142","0.61",
"建材營造類指數      ","20,146,634","457,952,917","9,545","-1.45",
"航運業類指數        ","34,845,241","644,894,687","12,752","0.27",
"觀光事業類指數      ","3,517,694","228,055,113","2,093","-0.69",
"金融保險類指數      ","222,260,877","4,353,475,814","63,757","5.59",
"貿易百貨類指數      ","39,526,190","1,690,915,606","16,432","0.05",
"油電燃氣類指數      ","1,676,815","109,770,167","1,076","0.60",
"其他類指數          ","47,025,232","2,657,538,246","26,751","2.43",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

