"102年03月15日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","20,392,309","629,934,021","5,615","-1.50",
"食品類指數          ","27,617,942","1,166,381,529","9,246","-14.15",
"塑膠類指數          ","158,222,260","5,830,265,774","44,800","-0.18",
"紡織纖維類指數      ","49,168,780","1,480,110,867","16,342","0.69",
"電機機械類指數      ","24,638,792","1,310,830,021","11,411","0.22",
"電器電纜類指數      ","33,835,176","356,189,840","7,186","-0.97",
"化學生技醫療類指數  ","54,096,022","2,826,323,904","24,077","-0.25",
"化學類指數          ","36,304,059","1,741,048,822","13,125","-0.22",
"生技醫療類指數      ","17,791,963","1,085,275,082","10,952","-0.21",
"玻璃陶瓷類指數      ","11,756,856","158,626,247","3,377","-1.06",
"造紙類指數          ","8,473,271","125,978,900","2,518","-0.06",
"鋼鐵類指數          ","57,788,158","1,359,803,614","15,119","0.46",
"橡膠類指數          ","24,502,801","1,418,598,337","11,522","-1.58",
"汽車類指數          ","13,451,574","857,556,739","5,380","4.25",
"電子類指數          ","1,365,107,156","55,417,910,281","388,753","-1.08",
"半導體類指數        ","345,045,465","14,488,285,224","92,432","-0.63",
"電腦及週邊設備類指數","177,859,885","6,642,796,040","52,967","-0.05",
"光電類指數          ","527,228,668","14,826,047,117","118,582","0.04",
"通信網路類指數      ","88,737,734","8,982,760,685","40,172","0.07",
"電子零組件類指數    ","97,455,201","4,640,495,298","41,940","-0.70",
"電子通路類指數      ","21,328,070","924,885,537","9,698","-1.43",
"資訊服務類指數      ","2,206,113","77,182,638","1,192","0.48",
"其他電子類指數      ","105,246,020","4,835,457,742","31,770","0.06",
"建材營造類指數      ","66,744,839","1,542,727,181","21,099","-2.72",
"航運業類指數        ","47,381,478","768,787,660","13,246","-0.34",
"觀光事業類指數      ","2,840,945","192,035,567","1,372","0.03",
"金融保險類指數      ","535,758,779","9,702,603,277","102,658","-7.78",
"貿易百貨類指數      ","24,468,398","1,061,802,577","9,256","-3.87",
"油電燃氣類指數      ","4,797,189","317,683,150","2,249","1.08",
"其他類指數          ","78,756,245","4,067,118,836","32,203","2.58",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

