"108年02月21日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","56,461,537","2,052,139,222","18,572","3.52",
"食品類指數          ","18,769,005","891,070,371","10,820","10.58",
"塑膠類指數          ","56,046,954","2,474,155,208","21,331","1.14",
"紡織纖維類指數      ","25,129,258","1,411,305,116","13,301","0.82",
"電機機械類指數      ","60,531,057","4,574,325,795","34,074","1.16",
"電器電纜類指數      ","51,408,392","912,174,100","11,729","1.33",
"化學生技醫療類指數  ","48,732,637","3,171,844,027","27,524","-0.40",
"化學類指數          ","27,757,248","1,132,744,293","13,262","-0.55",
"生技醫療類指數      ","20,975,389","2,039,099,734","14,262","-0.17",
"玻璃陶瓷類指數      ","6,999,112","90,509,290","2,048","0.84",
"造紙類指數          ","9,598,263","159,638,588","3,756","-0.88",
"鋼鐵類指數          ","45,333,796","1,256,355,133","18,052","0.10",
"橡膠類指數          ","14,272,865","478,261,031","7,870","-0.08",
"汽車類指數          ","4,624,216","478,128,861","3,055","4.22",
"電子類指數          ","1,484,906,749","83,596,450,398","668,733","2.28",
"半導體類指數        ","342,679,042","24,606,716,832","144,068","1.25",
"電腦及週邊設備類指數","152,372,133","6,011,194,732","72,310","-0.41",
"光電類指數          ","469,642,530","19,441,829,207","184,600","0.39",
"通信網路類指數      ","91,636,512","5,477,799,583","47,087","0.24",
"電子零組件類指數    ","323,047,262","20,590,330,691","164,371","0.51",
"電子通路類指數      ","16,112,698","588,413,735","9,990","-0.17",
"資訊服務類指數      ","8,152,125","226,893,313","3,734","0.21",
"其他電子類指數      ","81,264,447","6,653,272,305","42,573","0.36",
"建材營造類指數      ","26,478,279","641,675,455","12,573","-1.16",
"航運業類指數        ","55,185,381","871,782,340","16,782","0.32",
"觀光事業類指數      ","2,697,041","234,115,697","1,831","-1.04",
"金融保險類指數      ","278,399,712","6,112,684,208","72,143","4.32",
"貿易百貨類指數      ","16,783,473","714,996,234","7,820","-0.65",
"油電燃氣類指數      ","4,962,475","460,267,899","3,452","0.57",
"其他類指數          ","31,179,596","2,597,614,980","20,051","-0.25",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

