"108年07月23日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","33,546,559","1,496,097,671","11,957","0.82",
"食品類指數          ","25,284,076","1,298,955,251","12,469","-13.66",
"塑膠類指數          ","39,880,207","1,916,157,091","13,874","1.03",
"紡織纖維類指數      ","33,276,970","1,407,917,341","13,112","-1.90",
"電機機械類指數      ","45,108,733","2,832,006,718","19,943","0.81",
"電器電纜類指數      ","20,347,527","305,035,587","5,274","-0.18",
"化學生技醫療類指數  ","37,887,851","2,259,587,080","22,735","-0.49",
"化學類指數          ","15,574,133","645,018,495","8,161","0.05",
"生技醫療類指數      ","22,313,718","1,614,568,585","14,574","-0.71",
"玻璃陶瓷類指數      ","3,550,164","45,484,949","1,351","-0.26",
"造紙類指數          ","14,479,870","186,363,285","5,090","-2.60",
"鋼鐵類指數          ","35,764,719","1,155,985,377","15,666","-0.09",
"橡膠類指數          ","8,914,599","287,229,906","4,989","0.43",
"汽車類指數          ","19,141,639","1,151,350,248","10,260","-2.08",
"電子類指數          ","1,586,411,204","91,327,354,835","668,964","1.13",
"半導體類指數        ","483,938,281","33,114,097,618","199,557","0.42",
"電腦及週邊設備類指數","202,236,665","8,609,195,008","90,231","0.64",
"光電類指數          ","309,858,053","13,858,013,750","97,211","0.11",
"通信網路類指數      ","139,389,358","8,779,968,879","67,899","-0.33",
"電子零組件類指數    ","354,849,317","20,108,359,520","164,886","0.40",
"電子通路類指數      ","14,680,281","575,770,043","7,942","-0.35",
"資訊服務類指數      ","11,689,318","526,633,103","7,084","-0.62",
"其他電子類指數      ","69,769,931","5,755,316,914","34,154","0.37",
"建材營造類指數      ","46,573,600","966,168,456","15,923","-1.89",
"航運業類指數        ","90,826,460","2,127,333,340","33,120","-0.37",
"觀光事業類指數      ","5,158,362","519,544,980","3,630","-0.26",
"金融保險類指數      ","244,552,144","5,081,166,811","66,201","-2.83",
"貿易百貨類指數      ","16,152,447","617,135,625","6,489","-1.78",
"油電燃氣類指數      ","3,272,517","194,854,819","1,094","-0.01",
"其他類指數          ","46,056,424","4,080,967,547","26,954","-2.57",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

