"107年08月17日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","41,048,118","1,678,503,023","17,031","2.01",
"食品類指數          ","25,477,123","1,539,958,021","13,234","28.14",
"塑膠類指數          ","56,757,296","2,225,003,108","20,730","1.50",
"紡織纖維類指數      ","51,365,157","1,498,141,567","18,812","3.68",
"電機機械類指數      ","57,547,578","5,090,905,443","30,522","0.69",
"電器電纜類指數      ","40,608,495","766,575,110","10,643","-0.55",
"化學生技醫療類指數  ","41,547,691","2,543,211,665","23,791","-0.27",
"化學類指數          ","22,578,124","802,832,782","10,574","-0.13",
"生技醫療類指數      ","18,969,567","1,740,378,883","13,217","-0.29",
"玻璃陶瓷類指數      ","1,460,683","21,995,658","775","0.10",
"造紙類指數          ","24,909,625","490,485,062","8,282","2.08",
"鋼鐵類指數          ","61,924,452","1,794,570,988","23,874","-0.81",
"橡膠類指數          ","9,850,364","408,880,112","4,291","-1.21",
"汽車類指數          ","5,112,537","230,255,849","2,337","-0.30",
"電子類指數          ","1,254,821,213","89,521,008,864","547,243","-0.63",
"半導體類指數        ","284,087,553","17,726,514,157","119,437","-0.05",
"電腦及週邊設備類指數","145,320,254","6,667,692,661","68,777","0.20",
"光電類指數          ","315,130,767","10,529,512,800","93,676","-0.26",
"通信網路類指數      ","66,841,165","4,365,650,511","35,160","0.52",
"電子零組件類指數    ","368,431,901","44,715,851,331","193,535","-1.08",
"電子通路類指數      ","20,153,109","716,660,823","9,957","-0.14",
"資訊服務類指數      ","2,527,884","69,384,355","1,371","0.22",
"其他電子類指數      ","52,328,580","4,729,742,226","25,330","-0.30",
"建材營造類指數      ","32,399,871","763,793,355","11,112","0.81",
"航運業類指數        ","38,803,954","629,931,183","13,297","-0.27",
"觀光事業類指數      ","13,678,109","947,223,433","7,151","-3.89",
"金融保險類指數      ","307,825,289","5,832,063,686","69,593","5.88",
"貿易百貨類指數      ","14,523,821","969,022,113","7,700","-0.74",
"油電燃氣類指數      ","1,834,034","138,286,596","1,018","0.66",
"其他類指數          ","27,669,714","1,765,829,961","16,600","0.42",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

