"104年07月02日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","10,533,855","388,924,202","5,179","-0.14",
"食品類指數          ","15,689,328","729,550,658","7,813","10.23",
"塑膠類指數          ","33,569,280","1,442,132,488","15,574","-1.65",
"紡織纖維類指數      ","49,893,137","1,684,190,762","19,451","-0.14",
"電機機械類指數      ","29,634,933","2,056,317,677","16,215","-0.24",
"電器電纜類指數      ","11,542,431","99,653,046","3,383","-0.17",
"化學生技醫療類指數  ","40,198,798","2,294,426,313","22,074","-0.38",
"化學類指數          ","15,818,888","862,043,458","7,652","-1.16",
"生技醫療類指數      ","24,379,910","1,432,382,855","14,422","0.46",
"玻璃陶瓷類指數      ","1,857,490","25,107,274","925","0.19",
"造紙類指數          ","4,133,508","47,827,803","2,462","-0.65",
"鋼鐵類指數          ","24,137,486","515,015,393","7,312","1.05",
"橡膠類指數          ","11,830,706","450,526,289","6,459","-2.05",
"汽車類指數          ","5,292,922","395,206,729","3,265","3.84",
"電子類指數          ","1,002,703,356","47,801,923,660","385,332","-0.08",
"半導體類指數        ","313,899,946","14,574,255,328","102,457","0.00",
"電腦及週邊設備類指數","135,871,330","5,768,495,516","57,139","-0.36",
"光電類指數          ","214,911,921","7,421,935,289","68,143","0.06",
"通信網路類指數      ","80,372,240","3,876,877,526","40,432","-0.52",
"電子零組件類指數    ","153,706,229","7,606,362,861","65,588","0.56",
"電子通路類指數      ","11,592,057","386,602,230","6,647","0.00",
"資訊服務類指數      ","17,255,516","737,534,979","8,664","-1.04",
"其他電子類指數      ","75,094,117","7,429,859,931","36,262","0.06",
"建材營造類指數      ","25,378,279","567,506,018","10,893","-2.38",
"航運業類指數        ","124,111,968","2,239,499,563","32,502","1.30",
"觀光事業類指數      ","6,508,691","648,801,643","4,443","-0.08",
"金融保險類指數      ","325,046,818","6,640,611,839","77,385","3.35",
"貿易百貨類指數      ","11,881,083","578,662,101","6,218","-0.55",
"油電燃氣類指數      ","5,280,615","361,143,562","2,771","0.20",
"其他類指數          ","48,062,970","3,338,208,148","27,719","0.29",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

