"98年11月05日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","11,055,294","327,556,028","3,928","-1.35",
"食品類指數          ","73,726,330","2,232,803,585","21,485","-8.96",
"塑膠類指數          ","127,223,199","3,026,571,670","29,946","-1.88",
"紡織纖維類指數      ","80,773,622","1,300,909,081","16,655","-4.47",
"電機機械類指數      ","73,409,005","1,462,025,004","20,723","0.09",
"電器電纜類指數      ","44,571,470","580,832,253","11,318","0.00",
"化學生技醫療類指數  ","65,640,870","2,173,817,240","22,013","-0.39",
"化學類指數          ","51,975,024","1,631,588,955","16,157","-0.51",
"生技醫療類指數      ","13,665,846","542,228,285","5,856","0.03",
"玻璃陶瓷類指數      ","24,561,986","403,544,784","6,553","-0.71",
"造紙類指數          ","12,626,247","189,661,998","2,874","-2.72",
"鋼鐵類指數          ","56,948,055","1,444,320,916","19,152","-0.94",
"橡膠類指數          ","29,863,127","1,151,447,533","10,823","-2.46",
"汽車類指數          ","39,050,282","1,297,027,150","13,019","0.52",
"電子類指數          ","1,540,561,298","54,260,171,817","467,242","-1.16",
"半導體類指數        ","455,781,280","16,027,901,421","117,728","-0.47",
"電腦及週邊設備類指數","236,929,413","7,672,023,316","80,092","-0.23",
"光電類指數          ","397,729,603","10,784,040,983","104,646","-0.70",
"通信網路類指數      ","102,764,648","6,780,529,216","43,782","-0.11",
"電子零組件類指數    ","151,231,716","5,515,336,887","56,997","-0.61",
"電子通路類指數      ","44,924,364","1,409,320,060","16,616","-1.64",
"資訊服務類指數      ","17,787,275","313,973,515","4,517","-0.39",
"其他電子類指數      ","133,412,999","5,757,046,419","42,864","0.60",
"建材營造類指數      ","128,356,441","3,785,425,926","40,967","-5.13",
"航運業類指數        ","62,895,285","1,546,850,345","22,460","-0.74",
"觀光事業類指數      ","2,944,813","104,469,121","1,223","-0.86",
"金融保險類指數      ","340,304,261","6,614,823,262","72,130","-12.62",
"貿易百貨類指數      ","29,696,927","1,144,263,788","10,083","0.01",
"油電燃氣類指數      ","6,137,032","235,066,978","2,368","-0.37",
"其他類指數          ","98,090,627","2,575,783,755","30,277","-0.51",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

