"102年07月12日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","17,177,000","576,669,920","6,149","1.95",
"食品類指數          ","29,881,000","1,385,539,000","11,108","9.61",
"塑膠類指數          ","95,350,000","3,296,355,650","32,016","2.13",
"紡織纖維類指數      ","47,524,000","1,753,965,690","15,832","0.97",
"電機機械類指數      ","65,070,000","2,493,137,640","24,205","1.84",
"電器電纜類指數      ","14,416,000","141,788,460","4,175","0.16",
"化學生技醫療類指數  ","73,552,000","2,595,878,430","30,872","0.93",
"化學類指數          ","44,288,000","1,313,530,230","15,597","-0.12",
"生技醫療類指數      ","29,264,000","1,282,348,200","15,275","1.84",
"玻璃陶瓷類指數      ","9,543,000","141,394,770","3,389","0.03",
"造紙類指數          ","15,208,000","185,444,530","3,880","1.99",
"鋼鐵類指數          ","45,078,000","1,198,668,970","13,432","0.47",
"橡膠類指數          ","21,512,000","1,388,192,420","10,177","1.42",
"汽車類指數          ","10,711,000","894,866,900","5,130","-3.58",
"電子類指數          ","1,091,755,000","46,941,353,050","347,407","0.95",
"半導體類指數        ","374,104,000","15,168,735,250","99,123","0.52",
"電腦及週邊設備類指數","171,239,000","6,676,144,040","58,733","0.32",
"光電類指數          ","254,008,000","8,620,023,520","66,740","-0.10",
"通信網路類指數      ","103,898,000","6,989,238,510","44,679","0.11",
"電子零組件類指數    ","93,712,000","3,624,326,840","36,304","0.16",
"電子通路類指數      ","16,726,000","562,888,150","7,785","0.56",
"資訊服務類指數      ","3,639,000","88,811,510","1,525","-0.19",
"其他電子類指數      ","74,429,000","5,211,185,230","32,518","0.12",
"建材營造類指數      ","63,305,000","1,746,045,320","20,477","1.28",
"航運業類指數        ","28,962,000","484,530,870","8,695","0.16",
"觀光事業類指數      ","1,597,000","235,675,600","995","1.41",
"金融保險類指數      ","590,153,000","12,800,009,270","97,631","7.64",
"貿易百貨類指數      ","20,368,000","1,178,943,880","7,417","-0.54",
"油電燃氣類指數      ","8,024,000","378,150,400","3,041","1.44",
"其他類指數          ","83,867,000","5,278,105,350","40,061","1.44",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

