"98年07月24日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","50,459,007","1,609,487,581","12,961","-1.53",
"食品類指數          ","79,141,823","1,773,859,471","20,842","-2.52",
"塑膠類指數          ","129,792,887","2,253,107,515","26,672","-0.37",
"紡織纖維類指數      ","94,631,136","1,407,453,947","19,011","-1.44",
"電機機械類指數      ","59,318,032","1,206,719,432","16,194","-0.09",
"電器電纜類指數      ","48,153,861","596,886,276","9,177","0.02",
"化學生技醫療類指數  ","96,012,643","4,000,241,481","33,220","0.94",
"化學類指數          ","51,802,050","1,944,131,616","16,429","0.93",
"生技醫療類指數      ","44,210,593","2,056,109,865","16,791","0.76",
"玻璃陶瓷類指數      ","5,540,226","69,591,548","1,566","0.06",
"造紙類指數          ","60,688,633","898,585,318","11,559","1.09",
"鋼鐵類指數          ","235,117,103","5,666,665,053","53,294","-1.54",
"橡膠類指數          ","78,181,193","2,582,990,659","20,270","-0.53",
"汽車類指數          ","49,997,427","1,329,507,974","12,815","-0.02",
"電子類指數          ","2,896,095,211","102,510,231,171","752,044","0.22",
"半導體類指數        ","719,594,735","31,706,097,981","185,009","0.46",
"電腦及週邊設備類指數","438,898,202","15,615,466,693","120,980","1.43",
"光電類指數          ","1,046,858,621","26,895,230,261","232,135","-0.97",
"通信網路類指數      ","191,843,453","10,073,148,657","60,246","-0.74",
"電子零組件類指數    ","220,086,554","6,233,197,907","65,053","0.16",
"電子通路類指數      ","113,279,440","3,669,925,081","33,169","1.85",
"資訊服務類指數      ","4,577,235","280,174,410","2,130","-0.95",
"其他電子類指數      ","160,956,971","8,036,990,181","53,322","-0.60",
"建材營造類指數      ","132,719,313","4,242,172,470","40,498","-2.57",
"航運業類指數        ","155,193,197","3,747,474,682","39,626","0.53",
"觀光事業類指數      ","10,860,743","435,070,786","3,679","-1.60",
"金融保險類指數      ","600,687,951","10,798,185,484","99,972","-4.10",
"貿易百貨類指數      ","48,044,539","1,521,690,779","14,142","0.70",
"油電燃氣類指數      ","4,712,900","160,472,537","1,435","-0.03",
"其他類指數          ","93,627,170","2,320,506,026","24,705","0.01",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

