"101年01月11日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","25,253,935","882,063,854","6,796","0.77",
"食品類指數          ","29,074,161","1,213,667,726","12,866","3.14",
"塑膠類指數          ","96,102,509","3,949,344,834","27,144","-1.13",
"紡織纖維類指數      ","63,116,319","1,086,750,480","19,156","0.45",
"電機機械類指數      ","26,746,155","1,797,174,637","12,757","0.66",
"電器電纜類指數      ","14,683,712","145,274,164","5,081","0.04",
"化學生技醫療類指數  ","45,031,235","1,946,405,252","20,784","0.38",
"化學類指數          ","33,879,706","1,501,869,847","14,770","0.28",
"生技醫療類指數      ","11,151,529","444,535,405","6,014","0.40",
"玻璃陶瓷類指數      ","5,097,282","100,564,777","2,087","0.24",
"造紙類指數          ","3,796,977","43,840,281","1,175","-0.06",
"鋼鐵類指數          ","23,393,278","496,825,449","9,238","-0.08",
"橡膠類指數          ","24,119,721","1,310,723,579","8,178","0.73",
"汽車類指數          ","33,758,649","1,468,509,045","12,218","1.21",
"電子類指數          ","1,456,185,029","60,089,492,793","467,437","0.80",
"半導體類指數        ","307,585,671","14,193,663,831","105,208","0.35",
"電腦及週邊設備類指數","156,027,045","7,781,452,176","56,936","0.01",
"光電類指數          ","542,346,051","13,749,237,689","126,945","0.22",
"通信網路類指數      ","171,238,811","11,907,989,489","67,447","0.58",
"電子零組件類指數    ","160,488,499","5,209,397,882","61,702","0.23",
"電子通路類指數      ","22,996,331","1,019,270,824","9,198","-0.49",
"資訊服務類指數      ","5,819,205","123,887,080","2,762","-0.24",
"其他電子類指數      ","89,683,416","6,104,593,822","37,239","-0.18",
"建材營造類指數      ","51,786,164","1,316,564,860","18,593","2.39",
"航運業類指數        ","108,651,005","1,931,652,722","31,423","0.40",
"觀光事業類指數      ","6,345,496","271,726,715","2,608","0.53",
"金融保險類指數      ","326,415,688","5,516,928,812","70,560","-3.74",
"貿易百貨類指數      ","27,672,192","1,348,052,140","12,525","0.86",
"油電燃氣類指數      ","4,442,271","318,766,483","1,648","-0.01",
"其他類指數          ","51,381,041","1,674,961,877","18,561","-0.09",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

