"105年09月02日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","9,190,278","283,944,038","4,623","0.70",
"食品類指數          ","18,208,506","825,547,987","9,336","4.05",
"塑膠類指數          ","47,693,701","1,412,256,622","20,449","2.11",
"紡織纖維類指數      ","20,609,754","883,540,616","9,599","-3.13",
"電機機械類指數      ","60,700,708","3,025,885,533","28,700","-1.50",
"電器電纜類指數      ","8,512,320","93,625,685","2,115","-0.23",
"化學生技醫療類指數  ","28,828,623","1,911,762,660","16,712","-0.84",
"化學類指數          ","16,879,905","591,825,479","8,262","-0.79",
"生技醫療類指數      ","11,948,718","1,319,937,181","8,450","-0.64",
"玻璃陶瓷類指數      ","4,410,903","57,494,452","1,163","0.00",
"造紙類指數          ","9,202,082","116,318,105","3,297","-0.67",
"鋼鐵類指數          ","25,349,199","415,051,479","8,516","0.57",
"橡膠類指數          ","10,915,752","476,201,375","5,868","1.80",
"汽車類指數          ","3,746,252","339,409,737","2,811","-2.20",
"電子類指數          ","1,220,556,894","52,124,795,897","464,152","-1.82",
"半導體類指數        ","178,928,775","9,933,267,481","72,412","0.20",
"電腦及週邊設備類指數","206,072,339","6,366,815,157","71,844","0.07",
"光電類指數          ","377,489,599","8,176,072,210","105,669","-0.74",
"通信網路類指數      ","114,616,930","6,858,144,237","55,606","0.03",
"電子零組件類指數    ","101,289,837","4,233,987,468","51,025","-0.69",
"電子通路類指數      ","37,437,596","976,635,839","12,947","-0.96",
"資訊服務類指數      ","1,890,816","56,726,077","1,081","-0.81",
"其他電子類指數      ","202,831,002","15,523,147,428","93,568","-2.06",
"建材營造類指數      ","24,731,995","479,839,016","9,682","-0.39",
"航運業類指數        ","180,379,285","2,354,509,329","42,862","0.45",
"觀光事業類指數      ","2,129,745","174,612,972","1,524","-0.63",
"金融保險類指數      ","269,717,055","5,298,542,632","72,262","5.30",
"貿易百貨類指數      ","18,879,546","939,936,816","8,197","4.43",
"油電燃氣類指數      ","4,569,595","265,243,016","1,646","0.12",
"其他類指數          ","33,064,745","2,118,356,246","18,317","-1.34",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

