"104年08月17日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","6,905,965","220,046,996","3,120","0.19",
"食品類指數          ","25,660,774","1,363,580,159","12,798","-6.17",
"塑膠類指數          ","44,223,442","1,284,486,803","16,341","-0.42",
"紡織纖維類指數      ","81,766,156","3,141,403,706","29,561","0.71",
"電機機械類指數      ","25,900,548","1,503,093,711","14,534","-0.58",
"電器電纜類指數      ","7,260,115","57,294,325","1,786","-0.03",
"化學生技醫療類指數  ","43,288,438","2,199,458,173","20,438","-1.23",
"化學類指數          ","30,340,988","1,189,708,125","12,263","-0.77",
"生技醫療類指數      ","12,947,450","1,009,750,048","8,175","-1.28",
"玻璃陶瓷類指數      ","1,212,843","15,081,750","568","-0.47",
"造紙類指數          ","2,980,119","31,192,480","823","-1.61",
"鋼鐵類指數          ","47,756,371","735,548,830","7,790","-0.40",
"橡膠類指數          ","14,010,152","462,636,067","6,920","-1.66",
"汽車類指數          ","4,040,789","200,656,717","2,210","-3.81",
"電子類指數          ","873,210,952","38,164,396,878","333,188","-4.52",
"半導體類指數        ","273,271,076","13,304,056,277","92,935","-1.89",
"電腦及週邊設備類指數","149,611,564","4,934,594,425","58,672","-0.96",
"光電類指數          ","215,331,832","7,426,626,382","66,241","-0.10",
"通信網路類指數      ","78,702,556","3,842,579,034","39,611","-1.16",
"電子零組件類指數    ","91,108,296","3,605,786,730","41,751","-0.91",
"電子通路類指數      ","17,464,700","512,984,949","9,241","-2.72",
"資訊服務類指數      ","5,589,629","162,748,224","3,018","-0.38",
"其他電子類指數      ","42,131,299","4,375,020,857","21,719","-1.05",
"建材營造類指數      ","25,571,060","513,515,083","10,829","-3.00",
"航運業類指數        ","79,242,212","1,371,947,300","19,616","-1.95",
"觀光事業類指數      ","4,440,789","503,109,154","3,240","-0.73",
"金融保險類指數      ","434,921,478","7,655,224,651","78,778","-10.76",
"貿易百貨類指數      ","15,242,738","501,118,814","6,549","-0.45",
"油電燃氣類指數      ","1,373,111","75,787,482","932","-0.82",
"其他類指數          ","41,835,548","2,306,538,796","24,720","-1.90",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

