"108年11月15日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","52,924,721","1,997,294,507","18,060","3.21",
"食品類指數          ","21,386,168","1,174,017,919","11,672","9.93",
"塑膠類指數          ","32,363,424","1,226,321,733","14,826","0.75",
"紡織纖維類指數      ","35,390,151","1,702,438,694","18,169","3.00",
"電機機械類指數      ","58,877,045","2,206,389,971","21,575","1.68",
"電器電纜類指數      ","7,021,071","126,103,937","2,921","0.01",
"化學生技醫療類指數  ","31,846,222","2,605,485,320","18,119","0.35",
"化學類指數          ","14,898,579","438,716,577","6,725","0.12",
"生技醫療類指數      ","16,947,643","2,166,768,743","11,394","0.40",
"玻璃陶瓷類指數      ","6,691,654","54,989,740","854","-0.08",
"造紙類指數          ","16,630,975","230,914,203","5,777","2.23",
"鋼鐵類指數          ","26,707,883","683,990,328","11,229","-0.04",
"橡膠類指數          ","15,819,275","499,399,227","7,464","0.26",
"汽車類指數          ","21,843,846","1,212,103,774","10,707","2.23",
"電子類指數          ","1,730,397,346","99,348,084,827","657,741","4.28",
"半導體類指數        ","268,348,710","32,204,371,943","130,483","2.32",
"電腦及週邊設備類指數","180,661,797","11,216,160,665","88,549","0.54",
"光電類指數          ","514,072,549","13,228,599,522","133,759","0.30",
"通信網路類指數      ","283,127,140","5,984,492,153","64,855","0.35",
"電子零組件類指數    ","340,347,028","22,679,816,788","163,661","-0.05",
"電子通路類指數      ","38,590,059","1,341,622,208","19,092","-0.18",
"資訊服務類指數      ","7,358,011","456,439,001","4,638","-0.05",
"其他電子類指數      ","97,892,052","12,236,582,547","52,704","1.18",
"建材營造類指數      ","59,107,048","1,393,200,068","23,813","0.55",
"航運業類指數        ","31,438,367","570,968,107","12,464","0.20",
"觀光事業類指數      ","2,719,219","224,031,567","2,056","0.70",
"金融保險類指數      ","241,137,428","4,790,572,611","59,660","5.44",
"貿易百貨類指數      ","21,667,394","1,036,562,233","9,351","2.08",
"油電燃氣類指數      ","3,054,324","257,861,977","1,795","-0.12",
"其他類指數          ","50,418,373","2,749,079,563","24,241","-0.23",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

