"100年03月17日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","15,872,159","431,889,320","5,330","1.07",
"食品類指數          ","42,768,464","1,648,632,187","17,477","5.42",
"塑膠類指數          ","140,673,419","5,977,589,557","47,904","3.04",
"紡織纖維類指數      ","96,130,887","1,964,796,733","21,245","-0.34",
"電機機械類指數      ","105,852,715","3,236,716,809","33,295","0.81",
"電器電纜類指數      ","35,277,758","534,336,088","7,763","-0.25",
"化學生技醫療類指數  ","83,119,753","4,586,656,779","37,455","0.11",
"化學類指數          ","71,249,630","3,963,440,847","30,697","0.32",
"生技醫療類指數      ","11,870,123","623,215,932","6,758","-0.35",
"玻璃陶瓷類指數      ","11,527,406","277,556,691","4,047","-1.11",
"造紙類指數          ","18,547,823","278,957,587","4,344","0.73",
"鋼鐵類指數          ","73,992,669","1,945,823,979","24,335","-0.32",
"橡膠類指數          ","59,634,954","3,225,524,524","22,427","2.72",
"汽車類指數          ","24,751,361","1,084,792,551","9,632","-1.34",
"電子類指數          ","1,662,957,715","87,593,972,842","558,462","-3.77",
"半導體類指數        ","635,989,134","31,200,915,643","185,506","-0.50",
"電腦及週邊設備類指數","134,667,579","6,490,967,975","51,170","-0.23",
"光電類指數          ","445,921,627","22,640,791,616","148,386","-0.88",
"通信網路類指數      ","97,123,554","9,040,636,347","36,745","-1.61",
"電子零組件類指數    ","166,845,300","6,051,924,435","57,984","-1.29",
"電子通路類指數      ","27,761,250","1,186,774,696","11,244","-0.35",
"資訊服務類指數      ","10,757,746","271,657,471","4,507","-1.20",
"其他電子類指數      ","143,891,525","10,710,304,659","62,920","-2.29",
"建材營造類指數      ","72,868,006","1,912,419,167","25,982","1.07",
"航運業類指數        ","112,299,352","2,633,646,853","27,857","0.38",
"觀光事業類指數      ","8,342,203","486,224,674","3,306","0.37",
"金融保險類指數      ","411,086,953","8,127,093,824","80,345","1.88",
"貿易百貨類指數      ","52,059,989","3,042,281,633","20,321","0.22",
"油電燃氣類指數      ","4,844,659","325,213,230","2,094","-1.83",
"其他類指數          ","59,315,163","1,918,443,971","23,090","1.34",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

