"108年07月24日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","44,349,577","1,873,353,462","12,685","-5.70",
"食品類指數          ","24,327,662","1,308,920,563","11,453","2.69",
"塑膠類指數          ","44,330,143","2,238,260,908","18,302","-2.78",
"紡織纖維類指數      ","29,697,965","1,444,618,694","14,177","-4.55",
"電機機械類指數      ","49,561,516","3,553,480,929","23,046","0.59",
"電器電纜類指數      ","18,097,230","292,418,742","5,610","-0.35",
"化學生技醫療類指數  ","40,646,356","2,107,449,619","23,503","-0.13",
"化學類指數          ","18,648,714","699,044,038","9,859","-0.18",
"生技醫療類指數      ","21,997,642","1,408,405,581","13,644","-0.06",
"玻璃陶瓷類指數      ","3,359,828","42,958,446","1,545","-0.33",
"造紙類指數          ","8,932,627","119,514,572","3,438","0.11",
"鋼鐵類指數          ","49,360,778","1,616,411,367","20,503","-0.14",
"橡膠類指數          ","13,146,250","352,669,036","6,459","-0.27",
"汽車類指數          ","18,359,826","1,232,353,014","10,516","-0.86",
"電子類指數          ","1,597,795,337","91,413,271,363","685,841","1.30",
"半導體類指數        ","471,606,417","33,304,267,213","202,332","0.51",
"電腦及週邊設備類指數","215,352,855","11,307,232,210","101,056","0.38",
"光電類指數          ","281,422,432","10,195,578,471","88,299","0.21",
"通信網路類指數      ","130,474,801","7,951,592,837","63,052","-0.16",
"電子零組件類指數    ","358,719,238","18,646,644,594","163,958","0.36",
"電子通路類指數      ","20,125,169","637,905,255","9,975","-0.52",
"資訊服務類指數      ","11,423,352","415,538,170","6,677","-0.49",
"其他電子類指數      ","108,671,073","8,954,512,613","50,492","0.43",
"建材營造類指數      ","46,339,605","1,024,099,015","18,863","-2.04",
"航運業類指數        ","87,727,750","1,956,184,961","30,076","-0.77",
"觀光事業類指數      ","5,043,932","643,381,822","3,858","0.33",
"金融保險類指數      ","270,112,912","5,909,534,040","74,029","-3.08",
"貿易百貨類指數      ","13,577,226","627,342,532","6,138","-1.92",
"油電燃氣類指數      ","5,159,912","370,522,465","2,586","-1.80",
"其他類指數          ","45,982,363","3,728,326,050","27,963","-1.32",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

