"109年02月10日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","23,810,805","930,855,013","8,083","-0.41",
"食品類指數          ","24,889,317","1,108,924,304","11,964","15.89",
"塑膠類指數          ","31,972,202","1,148,378,539","13,013","0.10",
"紡織纖維類指數      ","35,010,207","1,298,344,700","15,548","-2.03",
"電機機械類指數      ","31,865,537","2,688,054,513","18,304","-2.52",
"電器電纜類指數      ","14,838,979","237,302,661","5,296","-0.58",
"化學生技醫療類指數  ","137,480,087","5,178,954,947","61,023","-0.55",
"化學類指數          ","61,286,366","1,171,381,783","21,843","-0.35",
"生技醫療類指數      ","76,193,721","4,007,573,164","39,180","-0.51",
"玻璃陶瓷類指數      ","1,896,318","18,286,209","673","-0.25",
"造紙類指數          ","28,100,845","412,034,947","9,633","-3.82",
"鋼鐵類指數          ","21,354,226","529,582,699","8,255","0.24",
"橡膠類指數          ","13,020,857","423,686,399","7,094","-2.59",
"汽車類指數          ","30,259,994","1,123,495,167","12,032","-6.06",
"電子類指數          ","1,476,134,247","91,102,415,684","574,391","-1.87",
"半導體類指數        ","356,252,964","32,630,192,091","164,220","-0.67",
"電腦及週邊設備類指數","122,648,190","6,843,236,386","64,349","-0.68",
"光電類指數          ","571,904,859","15,812,797,366","113,229","0.06",
"通信網路類指數      ","56,341,609","5,167,458,046","30,895","0.38",
"電子零組件類指數    ","276,149,870","23,697,816,024","152,802","-0.79",
"電子通路類指數      ","15,011,281","567,126,880","8,434","-0.55",
"資訊服務類指數      ","5,150,603","295,774,101","2,755","0.84",
"其他電子類指數      ","72,674,871","6,088,014,790","37,707","-0.99",
"建材營造類指數      ","37,988,316","740,616,410","15,214","-2.14",
"航運業類指數        ","57,779,698","1,017,859,235","17,234","-0.63",
"觀光事業類指數      ","5,030,796","335,664,447","3,820","-0.19",
"金融保險類指數      ","303,015,474","6,158,421,383","72,974","-2.14",
"貿易百貨類指數      ","11,662,309","573,777,482","5,383","1.16",
"油電燃氣類指數      ","5,717,892","317,997,532","3,511","0.30",
"其他類指數          ","49,748,127","3,748,638,447","30,009","-1.71",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

