"99年07月30日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","59,583,590","1,670,556,407","13,582","0.60",
"食品類指數          ","182,119,102","4,474,446,881","55,575","-11.47",
"塑膠類指數          ","118,414,179","2,846,080,039","27,923","-2.02",
"紡織纖維類指數      ","199,401,710","3,165,234,764","39,388","0.94",
"電機機械類指數      ","102,379,539","2,144,539,228","27,080","0.46",
"電器電纜類指數      ","64,142,873","1,018,814,226","13,635","-0.07",
"化學生技醫療類指數  ","118,925,030","3,811,768,750","38,857","-0.09",
"化學類指數          ","92,942,331","2,888,071,032","27,462","-0.07",
"生技醫療類指數      ","25,982,699","923,697,718","11,395","-0.14",
"玻璃陶瓷類指數      ","38,362,022","952,344,705","10,632","-0.60",
"造紙類指數          ","28,961,628","416,608,638","5,163","-0.64",
"鋼鐵類指數          ","75,893,079","1,552,014,897","20,968","-0.39",
"橡膠類指數          ","44,793,329","1,838,417,733","13,662","-1.78",
"汽車類指數          ","61,203,399","1,524,568,858","14,871","1.15",
"電子類指數          ","1,218,146,821","58,338,622,122","409,686","-1.72",
"半導體類指數        ","339,482,578","16,024,740,560","116,586","-0.57",
"電腦及週邊設備類指數","143,536,105","5,127,578,331","47,109","-0.39",
"光電類指數          ","277,890,050","11,088,411,664","89,583","-0.64",
"通信網路類指數      ","116,764,610","12,605,679,628","37,935","1.11",
"電子零組件類指數    ","183,198,345","6,084,620,457","59,487","-0.64",
"電子通路類指數      ","43,474,472","1,920,392,605","15,813","-1.17",
"資訊服務類指數      ","38,487,289","990,721,709","14,046","-1.43",
"其他電子類指數      ","75,313,372","4,496,477,168","29,127","-0.92",
"建材營造類指數      ","88,867,255","1,984,346,796","23,756","-1.78",
"航運業類指數        ","108,143,874","2,453,808,709","26,556","-0.48",
"觀光事業類指數      ","6,851,225","357,297,439","3,128","-2.62",
"金融保險類指數      ","508,193,934","7,874,123,804","86,910","-0.81",
"貿易百貨類指數      ","35,431,047","1,396,500,062","12,871","-0.02",
"油電燃氣類指數      ","5,357,909","270,636,095","1,968","-1.33",
"其他類指數          ","52,112,852","1,540,874,293","17,196","-0.14",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

