"100年02月22日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","26,228,610","741,903,903","7,587","-2.32",
"食品類指數          ","48,293,494","1,210,130,881","15,993","-13.17",
"塑膠類指數          ","143,632,071","7,507,486,810","47,472","-3.67",
"紡織纖維類指數      ","125,563,646","2,939,598,657","33,203","-14.13",
"電機機械類指數      ","57,046,161","3,125,140,771","24,762","-0.77",
"電器電纜類指數      ","38,504,527","602,655,635","10,025","-1.66",
"化學生技醫療類指數  ","189,667,780","7,559,950,753","65,266","-2.34",
"化學類指數          ","157,542,723","6,127,348,684","49,591","-2.85",
"生技醫療類指數      ","32,125,057","1,432,602,069","15,675","-0.73",
"玻璃陶瓷類指數      ","14,739,293","363,488,904","5,282","-1.64",
"造紙類指數          ","21,424,513","339,756,579","6,253","-5.54",
"鋼鐵類指數          ","119,994,726","2,920,979,670","34,560","-1.68",
"橡膠類指數          ","41,202,330","1,831,737,740","15,645","-4.75",
"汽車類指數          ","28,215,909","1,259,606,361","10,302","-3.00",
"電子類指數          ","1,829,783,818","91,758,295,916","633,747","-6.43",
"半導體類指數        ","562,714,503","25,437,033,465","171,508","-1.61",
"電腦及週邊設備類指數","242,679,939","10,034,926,045","87,102","-2.25",
"光電類指數          ","530,905,682","28,053,226,116","187,852","-1.33",
"通信網路類指數      ","105,488,389","10,860,978,843","43,342","-1.65",
"電子零組件類指數    ","194,343,539","6,978,398,979","67,605","-1.41",
"電子通路類指數      ","36,432,992","1,725,443,434","17,022","-2.94",
"資訊服務類指數      ","10,840,569","363,750,031","5,214","-0.69",
"其他電子類指數      ","146,378,205","8,304,539,003","54,102","-1.43",
"建材營造類指數      ","102,891,366","2,696,194,554","31,216","-8.30",
"航運業類指數        ","261,519,543","6,069,131,285","62,878","-4.43",
"觀光事業類指數      ","5,881,915","425,784,756","2,697","-2.72",
"金融保險類指數      ","631,879,029","12,876,088,561","134,047","-17.62",
"貿易百貨類指數      ","24,422,650","1,277,443,176","11,511","-3.02",
"油電燃氣類指數      ","9,647,079","654,760,818","3,971","-2.44",
"其他類指數          ","41,636,825","1,227,868,052","15,529","-2.47",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

