"103年02月25日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","25,438,777","846,139,954","6,950","2.18",
"食品類指數          ","16,425,966","721,272,908","7,402","-3.94",
"塑膠類指數          ","54,562,417","1,839,372,318","20,586","0.13",
"紡織纖維類指數      ","45,437,751","1,119,253,153","14,576","0.88",
"電機機械類指數      ","85,768,515","4,372,796,176","37,308","0.63",
"電器電纜類指數      ","10,253,862","129,004,456","3,247","0.01",
"化學生技醫療類指數  ","62,314,190","2,960,436,535","31,636","-0.13",
"化學類指數          ","28,586,343","895,553,614","11,220","-0.58",
"生技醫療類指數      ","33,727,847","2,064,882,921","20,416","0.35",
"玻璃陶瓷類指數      ","2,670,785","53,488,170","1,119","0.07",
"造紙類指數          ","6,978,511","100,031,997","2,109","0.82",
"鋼鐵類指數          ","30,536,544","814,108,140","11,089","-0.33",
"橡膠類指數          ","16,800,017","793,834,891","7,817","-0.31",
"汽車類指數          ","11,554,760","872,305,066","4,445","4.40",
"電子類指數          ","1,552,108,337","59,975,977,686","531,851","1.01",
"半導體類指數        ","359,931,339","18,269,975,374","124,430","0.86",
"電腦及週邊設備類指數","213,900,204","8,729,291,802","80,564","-0.15",
"光電類指數          ","489,450,368","12,851,037,881","129,739","-0.10",
"通信網路類指數      ","159,118,162","6,526,163,350","63,305","-0.36",
"電子零組件類指數    ","201,388,659","6,398,405,430","76,634","0.25",
"電子通路類指數      ","27,550,533","849,717,929","11,368","0.20",
"資訊服務類指數      ","11,531,477","506,470,861","5,786","0.76",
"其他電子類指數      ","89,237,595","5,844,915,059","40,025","0.05",
"建材營造類指數      ","46,597,642","1,067,937,460","15,328","-1.32",
"航運業類指數        ","67,646,295","1,152,753,252","18,524","0.05",
"觀光事業類指數      ","2,805,986","511,407,154","1,945","-0.13",
"金融保險類指數      ","343,358,166","7,246,315,089","66,386","-2.57",
"貿易百貨類指數      ","21,281,406","1,287,776,128","10,193","-0.39",
"油電燃氣類指數      ","1,828,094","113,615,050","1,066","0.24",
"其他類指數          ","50,719,619","2,874,154,733","26,189","0.80",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

