"98年11月24日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","10,633,641","291,474,736","4,425","0.72",
"食品類指數          ","75,338,443","1,821,563,231","21,613","10.35",
"塑膠類指數          ","100,100,303","2,604,529,329","21,487","3.12",
"紡織纖維類指數      ","100,532,076","1,309,750,733","19,779","1.23",
"電機機械類指數      ","61,810,460","1,247,883,741","18,284","-0.04",
"電器電纜類指數      ","28,617,297","434,339,940","7,315","0.21",
"化學生技醫療類指數  ","150,438,781","5,164,164,529","46,655","1.11",
"化學類指數          ","121,549,197","3,525,407,095","33,587","1.13",
"生技醫療類指數      ","28,889,584","1,638,757,434","13,068","0.81",
"玻璃陶瓷類指數      ","35,689,113","703,614,780","9,707","0.13",
"造紙類指數          ","30,967,964","523,610,587","6,461","-2.73",
"鋼鐵類指數          ","172,209,432","3,473,259,981","39,765","0.64",
"橡膠類指數          ","36,907,826","1,258,462,986","11,805","-0.80",
"汽車類指數          ","42,962,458","1,013,179,534","10,699","0.31",
"電子類指數          ","1,962,398,868","78,199,967,463","617,882","0.49",
"半導體類指數        ","494,728,043","24,132,958,116","162,439","0.00",
"電腦及週邊設備類指數","227,160,323","8,827,878,255","75,391","0.40",
"光電類指數          ","571,890,268","18,565,737,408","161,027","0.22",
"通信網路類指數      ","162,138,077","7,437,106,962","55,258","-0.19",
"電子零組件類指數    ","274,375,170","8,986,970,892","83,443","0.56",
"電子通路類指數      ","49,613,210","1,807,019,228","18,279","0.55",
"資訊服務類指數      ","29,149,230","632,068,581","8,685","0.77",
"其他電子類指數      ","153,344,547","7,810,228,021","53,360","0.02",
"建材營造類指數      ","61,122,605","1,693,131,074","20,324","0.99",
"航運業類指數        ","67,167,131","1,774,680,407","20,787","-0.03",
"觀光事業類指數      ","7,410,421","268,947,615","2,537","-0.35",
"金融保險類指數      ","370,633,659","6,970,799,298","69,276","4.94",
"貿易百貨類指數      ","25,540,008","865,296,354","9,535","0.11",
"油電燃氣類指數      ","3,830,236","129,620,180","1,190","0.11",
"其他類指數          ","85,607,279","2,539,615,212","26,303","0.46",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

