"98年10月16日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","20,639,800","576,564,080","5,773","0.30",
"食品類指數          ","46,052,174","1,086,715,040","12,810","0.74",
"塑膠類指數          ","86,739,556","2,637,182,867","25,597","-2.26",
"紡織纖維類指數      ","87,062,419","1,340,636,392","19,502","0.59",
"電機機械類指數      ","43,664,911","931,689,884","14,032","0.22",
"電器電纜類指數      ","34,254,736","452,899,480","7,990","0.45",
"化學生技醫療類指數  ","92,538,577","3,342,254,730","30,377","0.03",
"化學類指數          ","77,798,187","2,752,452,784","23,471","0.04",
"生技醫療類指數      ","14,740,390","589,801,946","6,906","0.02",
"玻璃陶瓷類指數      ","9,093,591","154,777,208","2,741","-0.22",
"造紙類指數          ","28,597,802","498,313,165","6,135","2.98",
"鋼鐵類指數          ","65,104,321","1,603,862,323","19,610","0.09",
"橡膠類指數          ","69,439,739","2,061,201,190","19,968","2.28",
"汽車類指數          ","54,836,050","1,769,223,800","14,758","1.16",
"電子類指數          ","2,069,588,435","76,386,482,218","603,056","-0.86",
"半導體類指數        ","574,247,253","23,854,094,694","152,187","-0.56",
"電腦及週邊設備類指數","251,270,627","9,055,670,635","77,847","0.24",
"光電類指數          ","541,691,311","16,482,967,935","146,615","-0.17",
"通信網路類指數      ","148,617,132","7,711,515,972","52,948","0.19",
"電子零組件類指數    ","269,747,004","8,706,093,083","87,761","0.03",
"電子通路類指數      ","109,204,608","3,052,332,734","34,610","0.03",
"資訊服務類指數      ","6,965,326","219,098,235","2,493","-0.57",
"其他電子類指數      ","167,845,174","7,304,708,930","48,595","-0.33",
"建材營造類指數      ","172,543,103","4,962,448,542","51,285","3.73",
"航運業類指數        ","140,461,550","3,756,304,044","41,255","1.32",
"觀光事業類指數      ","2,619,858","112,231,027","1,258","0.70",
"金融保險類指數      ","687,769,778","13,576,216,959","113,861","12.47",
"貿易百貨類指數      ","21,023,642","677,375,024","7,577","1.26",
"油電燃氣類指數      ","4,975,268","218,890,553","1,735","-0.23",
"其他類指數          ","63,220,384","1,860,207,971","21,807","0.60",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

