"102年08月27日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","14,169,825","495,630,240","4,614","-1.70",
"食品類指數          ","24,133,381","1,082,339,553","9,625","-18.65",
"塑膠類指數          ","59,314,443","1,967,855,458","21,150","-1.67",
"紡織纖維類指數      ","33,142,583","1,033,726,046","10,767","-8.47",
"電機機械類指數      ","64,377,308","2,475,049,653","29,800","-1.90",
"電器電纜類指數      ","12,413,972","140,392,617","2,624","-0.45",
"化學生技醫療類指數  ","50,918,420","2,262,916,375","26,939","-1.34",
"化學類指數          ","23,187,717","746,541,960","10,564","-0.95",
"生技醫療類指數      ","27,730,703","1,516,374,415","16,375","-1.37",
"玻璃陶瓷類指數      ","3,835,098","58,516,523","1,471","0.06",
"造紙類指數          ","15,007,946","200,450,972","3,227","0.03",
"鋼鐵類指數          ","39,719,578","946,847,636","13,093","-0.66",
"橡膠類指數          ","58,274,061","2,564,924,069","10,671","-5.03",
"汽車類指數          ","7,901,462","438,925,108","3,894","-4.66",
"電子類指數          ","1,166,523,706","44,922,338,973","385,604","-2.64",
"半導體類指數        ","227,700,330","10,490,526,615","77,256","-0.75",
"電腦及週邊設備類指數","192,196,322","7,582,089,276","68,957","-0.21",
"光電類指數          ","355,215,832","10,057,815,418","83,883","-0.87",
"通信網路類指數      ","94,983,046","4,324,323,267","41,804","-0.23",
"電子零組件類指數    ","123,572,974","5,198,872,638","52,905","-0.60",
"電子通路類指數      ","29,272,124","1,239,765,053","13,155","-0.51",
"資訊服務類指數      ","12,764,694","357,218,108","6,079","-3.17",
"其他電子類指數      ","130,818,384","5,671,728,598","41,565","-0.88",
"建材營造類指數      ","57,002,427","1,532,802,696","21,597","-4.13",
"航運業類指數        ","47,107,927","621,361,823","11,083","-0.91",
"觀光事業類指數      ","2,574,321","195,544,686","1,443","-0.71",
"金融保險類指數      ","179,595,875","3,442,921,889","44,963","-4.82",
"貿易百貨類指數      ","15,396,707","711,230,529","6,370","-1.78",
"油電燃氣類指數      ","1,736,699","82,573,090","1,025","-0.86",
"其他類指數          ","74,230,567","3,900,956,778","33,417","-3.27",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

