"104年01月14日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","17,676,229","659,881,599","7,835","-0.34",
"食品類指數          ","18,905,427","760,512,061","9,322","-16.70",
"塑膠類指數          ","76,201,355","2,436,049,316","26,657","-1.53",
"紡織纖維類指數      ","37,662,889","1,001,517,790","12,984","-1.49",
"電機機械類指數      ","37,087,275","1,834,615,284","18,750","-0.36",
"電器電纜類指數      ","8,263,798","91,210,165","4,021","-0.04",
"化學生技醫療類指數  ","112,916,418","2,630,223,949","34,549","0.31",
"化學類指數          ","99,119,732","1,760,720,991","25,508","0.12",
"生技醫療類指數      ","13,796,686","869,502,958","9,041","0.40",
"玻璃陶瓷類指數      ","2,491,044","55,581,019","1,235","-0.55",
"造紙類指數          ","4,041,276","53,748,640","2,615","-0.24",
"鋼鐵類指數          ","36,615,418","836,934,427","10,958","0.22",
"橡膠類指數          ","17,065,187","766,392,855","9,631","-1.81",
"汽車類指數          ","6,277,875","491,041,024","3,536","-3.40",
"電子類指數          ","1,455,306,804","63,191,700,860","497,695","-2.06",
"半導體類指數        ","432,934,485","21,847,996,008","134,352","-1.31",
"電腦及週邊設備類指數","355,144,065","13,720,490,457","119,784","-0.31",
"光電類指數          ","301,879,753","10,181,701,934","88,004","0.18",
"通信網路類指數      ","63,340,732","3,979,489,994","31,482","-0.73",
"電子零組件類指數    ","186,496,782","6,849,042,780","72,641","1.08",
"電子通路類指數      ","26,580,411","802,032,303","12,437","-0.01",
"資訊服務類指數      ","7,312,108","255,826,352","3,748","0.42",
"其他電子類指數      ","81,618,468","5,555,121,032","35,247","-0.75",
"建材營造類指數      ","25,339,619","716,048,041","10,103","-0.58",
"航運業類指數        ","121,186,872","2,533,222,057","28,669","-0.26",
"觀光事業類指數      ","1,342,475","88,929,759","785","-0.78",
"金融保險類指數      ","256,433,980","4,834,201,023","62,415","-9.00",
"貿易百貨類指數      ","24,079,617","1,066,470,809","7,930","-2.79",
"油電燃氣類指數      ","4,164,770","230,343,920","2,556","-0.84",
"其他類指數          ","46,976,880","2,507,041,324","25,351","0.85",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

