"98年03月31日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","26,341,000","670,416,000","7,715","0.55",
"食品類指數          ","71,337,000","1,105,500,000","16,719","7.25",
"塑膠類指數          ","120,174,000","2,429,968,000","27,203","-1.98",
"紡織纖維類指數      ","63,972,000","815,340,000","11,983","4.41",
"電機機械類指數      ","33,671,000","495,927,000","10,330","-0.23",
"電器電纜類指數      ","61,068,000","466,010,000","9,323","-1.19",
"化學生技醫療類指數  ","101,192,000","3,558,793,000","35,293","0.24",
"化學類指數          ","75,143,000","2,768,490,000","24,124","0.64",
"生技醫療類指數      ","26,049,000","790,303,000","11,169","-0.88",
"玻璃陶瓷類指數      ","11,792,000","151,400,000","3,447","-0.96",
"造紙類指數          ","52,842,000","504,419,000","9,422","4.14",
"鋼鐵類指數          ","206,260,000","4,008,940,000","49,726","-1.47",
"橡膠類指數          ","55,948,000","1,267,348,000","14,216","1.49",
"汽車類指數          ","37,711,000","531,733,000","7,711","1.38",
"電子類指數          ","2,413,760,000","56,026,249,000","563,110","-0.08",
"半導體類指數        ","726,829,000","18,452,869,000","167,380","-0.50",
"電腦及週邊設備類指數","294,703,000","7,587,857,000","80,861","0.49",
"光電類指數          ","799,501,000","12,343,427,000","144,242","-0.28",
"通信網路類指數      ","145,429,000","7,151,846,000","46,794","0.73",
"電子零組件類指數    ","229,901,000","4,425,995,000","60,303","0.10",
"電子通路類指數      ","79,348,000","1,819,117,000","23,696","-0.70",
"資訊服務類指數      ","3,693,000","171,842,000","1,473","0.16",
"其他電子類指數      ","134,356,000","4,073,296,000","38,361","0.58",
"建材營造類指數      ","212,374,000","2,933,819,000","48,831","1.75",
"航運業類指數        ","200,231,000","3,270,150,000","42,698","0.31",
"觀光事業類指數      ","56,263,000","1,796,129,000","15,171","6.47",
"金融保險類指數      ","803,867,000","10,454,869,000","125,791","6.51",
"貿易百貨類指數      ","68,267,000","1,310,478,000","16,136","1.63",
"油電燃氣類指數      ","7,898,000","267,715,000","2,661","-0.82",
"其他類指數          ","64,079,000","1,306,811,000","18,856","1.53",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

