"108年08月16日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","25,603,795","964,824,610","10,874","1.03",
"食品類指數          ","27,337,281","1,461,273,656","12,756","16.19",
"塑膠類指數          ","52,526,642","2,478,399,402","24,165","3.00",
"紡織纖維類指數      ","30,297,779","1,510,056,173","13,868","3.52",
"電機機械類指數      ","30,994,202","1,918,039,078","17,405","1.22",
"電器電纜類指數      ","9,649,586","136,772,886","3,483","0.31",
"化學生技醫療類指數  ","29,087,461","1,728,875,392","17,655","0.40",
"化學類指數          ","14,890,745","512,497,454","7,461","0.67",
"生技醫療類指數      ","14,196,716","1,216,377,938","10,194","0.09",
"玻璃陶瓷類指數      ","5,777,487","78,539,743","1,953","0.06",
"造紙類指數          ","6,086,544","84,978,947","2,843","-0.14",
"鋼鐵類指數          ","37,668,085","935,720,469","15,173","0.28",
"橡膠類指數          ","14,511,797","469,064,377","7,401","1.42",
"汽車類指數          ","23,750,079","1,680,382,559","14,953","5.80",
"電子類指數          ","1,656,448,856","79,510,174,830","653,408","3.31",
"半導體類指數        ","369,915,973","26,075,168,904","164,557","1.52",
"電腦及週邊設備類指數","195,397,404","9,914,253,581","104,115","0.98",
"光電類指數          ","522,344,722","12,997,200,843","122,297","0.40",
"通信網路類指數      ","83,692,072","4,904,908,449","41,872","0.68",
"電子零組件類指數    ","382,075,780","19,534,991,782","170,780","-0.01",
"電子通路類指數      ","22,644,980","850,313,462","9,827","0.92",
"資訊服務類指數      ","8,593,552","313,680,424","5,030","0.35",
"其他電子類指數      ","71,784,373","4,919,657,385","34,930","0.47",
"建材營造類指數      ","52,683,553","1,256,907,463","22,217","1.28",
"航運業類指數        ","92,901,808","1,839,990,368","33,462","0.84",
"觀光事業類指數      ","4,141,292","498,739,587","3,198","-0.25",
"金融保險類指數      ","421,498,753","9,069,070,678","124,904","15.82",
"貿易百貨類指數      ","15,218,633","793,192,872","8,040","1.73",
"油電燃氣類指數      ","7,117,849","564,068,473","4,544","4.30",
"其他類指數          ","36,199,236","2,960,829,414","23,075","-1.68",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

