"107年06月15日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","32,445,302","1,278,310,012","10,960","0.93",
"食品類指數          ","25,987,689","1,471,484,126","9,546","27.73",
"塑膠類指數          ","104,971,790","6,993,109,721","32,512","-1.09",
"紡織纖維類指數      ","66,176,044","1,808,452,316","20,609","8.24",
"電機機械類指數      ","73,309,294","6,276,511,675","29,228","0.56",
"電器電纜類指數      ","34,022,199","672,978,992","9,891","-2.20",
"化學生技醫療類指數  ","53,828,025","3,399,071,380","27,570","-0.16",
"化學類指數          ","33,055,650","1,716,936,453","15,163","-0.09",
"生技醫療類指數      ","20,772,375","1,682,134,927","12,407","-0.16",
"玻璃陶瓷類指數      ","5,734,177","95,705,638","1,580","-0.35",
"造紙類指數          ","7,915,045","180,286,376","3,547","-0.49",
"鋼鐵類指數          ","96,883,141","3,023,021,003","31,713","0.23",
"橡膠類指數          ","17,967,539","639,758,505","6,454","-0.69",
"汽車類指數          ","11,919,049","509,080,872","4,553","1.24",
"電子類指數          ","2,351,218,822","140,134,123,106","809,844","4.02",
"半導體類指數        ","546,971,886","37,109,083,860","185,610","2.56",
"電腦及週邊設備類指數","260,573,043","12,100,042,750","87,030","-0.25",
"光電類指數          ","675,951,580","23,998,466,381","172,406","0.13",
"通信網路類指數      ","146,357,911","9,800,887,046","58,046","0.00",
"電子零組件類指數    ","547,800,549","46,324,525,289","243,556","1.99",
"電子通路類指數      ","64,018,702","2,153,549,046","25,065","-0.38",
"資訊服務類指數      ","2,648,635","89,094,047","1,600","0.18",
"其他電子類指數      ","106,896,516","8,558,474,687","36,531","-0.11",
"建材營造類指數      ","52,312,186","1,387,061,029","17,146","0.38",
"航運業類指數        ","42,936,005","721,402,769","11,497","0.37",
"觀光事業類指數      ","2,283,256","338,400,405","1,770","-2.43",
"金融保險類指數      ","535,505,680","10,964,177,343","77,901","9.76",
"貿易百貨類指數      ","33,095,469","1,659,193,973","11,311","0.22",
"油電燃氣類指數      ","5,902,429","436,789,642","2,896","1.78",
"其他類指數          ","61,020,604","2,986,052,419","24,601","0.05",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

