"109年03月02日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","39,191,425","1,565,822,093","14,777","-0.72",
"食品類指數          ","37,137,276","1,969,722,671","19,479","-30.60",
"塑膠類指數          ","100,448,411","4,050,121,499","43,922","-2.38",
"紡織纖維類指數      ","30,644,215","1,040,198,283","15,022","-5.36",
"電機機械類指數      ","36,351,768","2,575,070,813","19,545","-0.40",
"電器電纜類指數      ","19,734,307","297,268,458","6,299","-0.01",
"化學生技醫療類指數  ","149,217,582","4,940,740,573","64,544","0.00",
"化學類指數          ","69,844,173","1,400,115,354","24,267","-0.07",
"生技醫療類指數      ","79,373,409","3,540,625,219","40,277","0.04",
"玻璃陶瓷類指數      ","5,299,648","56,108,554","1,419","-0.31",
"造紙類指數          ","69,242,925","1,252,395,465","23,565","-3.27",
"鋼鐵類指數          ","56,394,105","2,049,434,829","24,774","-0.01",
"橡膠類指數          ","17,118,910","544,668,167","8,480","-1.79",
"汽車類指數          ","21,881,045","1,412,235,605","12,128","-8.89",
"電子類指數          ","1,726,893,576","131,957,640,804","740,134","-5.25",
"半導體類指數        ","564,607,046","54,590,183,501","221,039","-2.56",
"電腦及週邊設備類指數","202,645,404","9,865,022,447","90,506","-1.77",
"光電類指數          ","395,301,747","16,817,948,032","115,624","-0.46",
"通信網路類指數      ","83,952,037","5,875,505,164","45,760","-0.75",
"電子零組件類指數    ","335,610,297","34,130,166,276","191,575","0.40",
"電子通路類指數      ","23,672,631","894,133,664","12,161","-1.19",
"資訊服務類指數      ","10,339,467","678,668,802","7,359","0.56",
"其他電子類指數      ","110,764,947","9,106,012,918","56,110","-1.03",
"建材營造類指數      ","64,204,267","1,327,180,325","26,684","-2.54",
"航運業類指數        ","79,509,773","1,289,914,349","28,536","-0.97",
"觀光事業類指數      ","4,014,508","279,325,624","3,663","0.61",
"金融保險類指數      ","652,347,947","13,395,875,368","184,423","-17.96",
"貿易百貨類指數      ","22,658,476","1,438,295,582","10,483","-0.31",
"油電燃氣類指數      ","8,233,483","515,339,409","4,394","-1.39",
"其他類指數          ","94,974,721","5,601,380,591","51,899","-2.92",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

