"107年11月06日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","24,332,125","823,246,235","10,234","-0.57",
"食品類指數          ","9,805,767","541,874,109","5,134","-2.63",
"塑膠類指數          ","50,637,110","2,488,991,072","16,547","-1.54",
"紡織纖維類指數      ","24,520,628","1,276,202,654","12,125","3.65",
"電機機械類指數      ","67,367,536","4,429,509,099","35,125","-2.12",
"電器電纜類指數      ","33,381,558","529,672,261","10,461","-0.94",
"化學生技醫療類指數  ","35,112,588","1,609,979,255","19,479","-0.61",
"化學類指數          ","23,273,389","872,268,300","11,578","-0.02",
"生技醫療類指數      ","11,839,199","737,710,955","7,901","-0.90",
"玻璃陶瓷類指數      ","905,237","13,117,685","534","-0.24",
"造紙類指數          ","8,716,624","148,674,946","3,446","-1.46",
"鋼鐵類指數          ","45,262,258","1,864,463,401","20,365","-0.17",
"橡膠類指數          ","5,542,681","174,303,873","2,869","-0.59",
"汽車類指數          ","3,468,226","130,728,175","2,021","-0.92",
"電子類指數          ","1,479,558,031","87,054,457,366","579,117","-4.24",
"半導體類指數        ","488,242,502","22,771,130,370","140,247","-1.00",
"電腦及週邊設備類指數","102,756,704","3,833,741,607","45,773","-0.59",
"光電類指數          ","453,494,309","18,365,883,234","152,818","-0.73",
"通信網路類指數      ","64,614,050","4,339,449,295","36,022","-0.09",
"電子零組件類指數    ","284,913,135","27,627,712,603","157,617","-2.87",
"電子通路類指數      ","12,540,761","457,677,767","6,887","-0.66",
"資訊服務類指數      ","4,175,923","107,417,058","2,251","0.42",
"其他電子類指數      ","68,820,647","9,551,445,432","37,502","-2.84",
"建材營造類指數      ","24,239,341","467,834,579","9,372","1.31",
"航運業類指數        ","33,005,664","517,705,682","11,771","-0.21",
"觀光事業類指數      ","1,710,669","172,603,695","1,314","-0.04",
"金融保險類指數      ","195,413,724","4,230,178,703","50,631","2.42",
"貿易百貨類指數      ","29,666,696","1,451,508,899","7,045","-5.57",
"油電燃氣類指數      ","4,123,142","386,026,093","2,052","-1.20",
"其他類指數          ","20,785,764","1,461,813,489","12,266","1.63",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

