"106年06月16日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","17,152,974","498,528,399","6,140","-1.24",
"食品類指數          ","34,983,800","1,703,390,562","17,045","5.32",
"塑膠類指數          ","91,841,578","6,230,486,696","16,921","-0.64",
"紡織纖維類指數      ","45,370,900","2,030,468,513","20,395","1.03",
"電機機械類指數      ","81,477,094","3,028,989,590","29,476","1.56",
"電器電纜類指數      ","8,949,069","92,386,611","2,936","0.24",
"化學生技醫療類指數  ","19,559,168","794,761,699","11,247","0.24",
"化學類指數          ","12,188,995","326,927,500","6,159","0.31",
"生技醫療類指數      ","7,370,173","467,834,199","5,088","0.10",
"玻璃陶瓷類指數      ","1,496,493","20,463,402","636","0.41",
"造紙類指數          ","38,462,693","1,181,136,469","14,275","1.07",
"鋼鐵類指數          ","37,642,731","755,084,166","11,076","-0.12",
"橡膠類指數          ","8,299,707","359,416,043","4,047","0.20",
"汽車類指數          ","6,682,971","516,914,387","2,810","1.22",
"電子類指數          ","1,345,088,932","62,814,481,005","425,661","4.80",
"半導體類指數        ","346,967,683","19,499,883,721","107,982","2.05",
"電腦及週邊設備類指數","139,637,961","5,971,537,230","51,772","0.36",
"光電類指數          ","495,069,374","15,918,083,289","113,325","0.55",
"通信網路類指數      ","124,395,071","6,158,025,274","53,137","0.04",
"電子零組件類指數    ","123,020,412","5,649,690,319","53,127","0.31",
"電子通路類指數      ","22,646,749","721,663,170","9,285","0.42",
"資訊服務類指數      ","2,523,142","96,639,545","1,341","1.22",
"其他電子類指數      ","90,828,540","8,798,958,457","35,692","2.28",
"建材營造類指數      ","30,336,786","649,058,663","10,582","1.33",
"航運業類指數        ","64,746,082","1,200,088,611","20,259","-0.02",
"觀光事業類指數      ","2,970,127","369,974,826","2,151","1.62",
"金融保險類指數      ","278,508,849","5,320,327,171","51,597","0.01",
"貿易百貨類指數      ","19,569,002","861,843,169","8,458","0.40",
"油電燃氣類指數      ","5,912,200","559,103,944","2,889","-0.03",
"其他類指數          ","41,419,136","2,469,371,115","21,082","0.95",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

