"108年08月15日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","33,473,319","1,242,393,546","13,718","-0.02",
"食品類指數          ","23,849,975","1,167,979,455","12,077","-19.47",
"塑膠類指數          ","67,153,003","2,973,292,382","29,531","-5.06",
"紡織纖維類指數      ","48,702,831","1,876,655,738","22,943","-7.70",
"電機機械類指數      ","30,682,983","2,367,000,717","16,757","-1.29",
"電器電纜類指數      ","21,197,096","289,544,782","6,889","-0.61",
"化學生技醫療類指數  ","35,188,398","1,761,187,310","19,643","-0.95",
"化學類指數          ","17,898,878","474,363,299","7,898","-0.72",
"生技醫療類指數      ","17,289,520","1,286,824,011","11,745","-0.82",
"玻璃陶瓷類指數      ","7,260,477","100,911,789","2,644","-0.50",
"造紙類指數          ","7,052,236","96,835,058","3,005","-0.69",
"鋼鐵類指數          ","38,146,870","950,807,138","14,817","-0.72",
"橡膠類指數          ","20,567,885","713,987,893","9,231","-1.93",
"汽車類指數          ","23,255,647","1,534,594,613","13,664","-4.33",
"電子類指數          ","1,514,516,353","80,243,854,052","630,797","-3.27",
"半導體類指數        ","333,952,692","23,854,743,422","143,842","-1.22",
"電腦及週邊設備類指數","203,312,924","9,314,410,211","97,093","-1.02",
"光電類指數          ","372,693,998","14,194,988,109","107,096","-0.25",
"通信網路類指數      ","92,579,427","5,228,421,201","46,808","-0.07",
"電子零組件類指數    ","411,256,931","21,777,568,706","184,748","-0.91",
"電子通路類指數      ","21,703,408","758,904,364","10,248","-0.74",
"資訊服務類指數      ","11,518,954","412,438,421","6,181","-0.79",
"其他電子類指數      ","67,498,019","4,702,379,618","34,781","-1.04",
"建材營造類指數      ","41,945,288","942,964,045","17,953","-1.06",
"航運業類指數        ","76,472,130","1,773,873,815","27,081","-1.51",
"觀光事業類指數      ","5,043,243","454,727,236","3,056","-2.10",
"金融保險類指數      ","362,135,645","6,948,133,202","94,000","-10.37",
"貿易百貨類指數      ","20,834,029","1,071,456,794","10,684","-0.60",
"油電燃氣類指數      ","7,893,090","580,094,707","4,375","-4.57",
"其他類指數          ","51,611,499","3,363,869,824","28,523","-0.94",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

